media_key,media_type,alt_text,duration_ms
3_1533229429220048896,photo,,
3_1533229432709816320,photo,,
3_1533229200399683584,photo,,
3_1533228843267497984,photo,,
3_1533228865857937409,photo,,
3_1533228893154562048,photo,,
3_1533228695774633984,photo,,
3_1533228700044431360,photo,,
3_1533227738663903235,photo,,
3_1533228315749785601,photo,,
7_1533228002883973120,video,,9376.0
3_1533227887633092608,photo,,
3_1533227488888995841,photo,,
3_1533227431775051781,photo,,
3_1533227133501308928,photo,,
7_1533226726414745600,video,,79866.0
3_1533226903355772930,photo,,
3_1533226850863955970,photo,,
3_1533226850864009217,photo,,
3_1533226824662011904,photo,,
3_1533226831989686274,photo,,
3_1533226505890832385,photo,,
