tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1516182431388348420,1397341919550840835,"10k Robux Giveaway! 
Requirements:
-Following
-Retweet
-Comment A Gamepass Link For 10k Robux

Picking Winner When I Hit 150 Followers On Here! https://t.co/8roA7sEymJ",2022-04-18 22:30:35+00:00,,628,651,695,10,en,1516182431388348420,"[{'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1425921713150201858', 'name': 'Xbox Game Pass'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10027048851', 'name': 'Xbox'}}, {'domain': {'id': '79', 'name': 'Video Game Hardware', 'description': 'Video Game Hardware'}, 'entity': {'id': '10027048851', 'name': 'Xbox'}}]","{'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/8roA7sEymJ', 'expanded_url': 'https://twitter.com/48kGoat/status/1516182431388348420/photo/1', 'display_url': 'pic.twitter.com/8roA7sEymJ', 'media_key': '3_1516182397888434179'}]}",{'media_keys': ['3_1516182397888434179']},False,,everyone,Twitter Web App
1516224875609817088,1313998815146500100,@Marielys_PR @onlymadmoon1 @Aramisrael2 @luchalibreonlin pero si la que esta llorando sos vos :v,2022-04-19 01:19:15+00:00,,0,1,1,0,es,1515824189676138499,[],"{'mentions': [{'start': 13, 'end': 26, 'username': 'onlymadmoon1', 'id': '1400217551150407681'}, {'start': 27, 'end': 39, 'username': 'Aramisrael2', 'id': '1162812485126250497'}, {'start': 40, 'end': 56, 'username': 'luchalibreonlin', 'id': '1220485442308575235'}]}",,False,,everyone,Twitter for Android
1516213218728849408,965571068428632067,@MM4GE_ pure art,2022-04-19 00:32:55+00:00,,0,1,1,0,en,1516196727086223360,[],"{'mentions': [{'start': 0, 'end': 7, 'username': 'MM4GE_', 'id': '1440039941740716033'}]}",,False,,everyone,Twitter Web App
1516153886716928003,1310688804441817088,roblox lankybox moment https://t.co/5fpJItnSZh,2022-04-18 20:37:10+00:00,,8,33,102,0,en,1516153886716928003,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'urls': [{'start': 23, 'end': 46, 'url': 'https://t.co/5fpJItnSZh', 'expanded_url': 'https://twitter.com/Parlo_ROBLOX/status/1516153886716928003/video/1', 'display_url': 'pic.twitter.com/5fpJItnSZh', 'media_key': '7_1516153741237440517'}]}",{'media_keys': ['7_1516153741237440517']},False,,everyone,Twitter Web App
1516080033487818752,1185626909469638656,@Chrysome__ @Citrus_Overlord @NamedTero @Roblox_RTC Ik there can be “better” which is just based on preference but can u name one?,2022-04-18 15:43:42+00:00,,0,1,1,0,en,1516052156788445184,[],"{'mentions': [{'start': 0, 'end': 11, 'username': 'Chrysome__', 'id': '2835172623'}, {'start': 12, 'end': 28, 'username': 'Citrus_Overlord', 'id': '1463762545873862656'}, {'start': 29, 'end': 39, 'username': 'NamedTero', 'id': '1318201113946935298'}, {'start': 40, 'end': 51, 'username': 'Roblox_RTC', 'id': '1056053249470541824'}]}",,False,,everyone,Twitter for iPhone
1413145947446538248,1391210443285438469,"Jogo bom: Westbound
Preço: Grátis
Compatível com: Todas as Plataformas

Visitas: 74.4M
Classificação: 👍84% | 👎16% ( 182K Votos)
Gênero: Ocidental https://t.co/ZCqK241l1R",2021-07-08 14:40:23+00:00,,2,2,4,0,pt,1413145947446538248,[],"{'urls': [{'start': 146, 'end': 169, 'url': 'https://t.co/ZCqK241l1R', 'expanded_url': 'https://twitter.com/melhor_roblox/status/1413145947446538248/photo/1', 'display_url': 'pic.twitter.com/ZCqK241l1R', 'media_key': '3_1413145945009573898'}]}",{'media_keys': ['3_1413145945009573898']},False,,everyone,Twitter for Android
1516224541445562379,1464463503016800261,ich kann nicht schlafen…,2022-04-19 01:17:55+00:00,,0,4,16,0,de,1516224541445562379,[],,,False,,everyone,Twitter for iPhone
1515854309325426700,1484938567159853056,You see this when you log on Roblox... Your 2nd Most used emoji is your reaction. https://t.co/qHESxOcazZ,2022-04-18 00:46:45+00:00,,67,2039,1488,21,en,1515854309325426700,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'annotations': [{'start': 29, 'end': 34, 'probability': 0.6135, 'type': 'Product', 'normalized_text': 'Roblox'}], 'urls': [{'start': 82, 'end': 105, 'url': 'https://t.co/qHESxOcazZ', 'expanded_url': 'https://twitter.com/BradyFa52699078/status/1515854309325426700/photo/1', 'display_url': 'pic.twitter.com/qHESxOcazZ', 'media_key': '3_1515854197295616003'}]}",{'media_keys': ['3_1515854197295616003']},False,,everyone,Twitter Web App
1516088465624031237,1102772383071387648,what made you join roblox?,2022-04-18 16:17:12+00:00,,23,933,826,9,en,1516088465624031237,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]",,,False,,everyone,Twitter Web App
1516170046372040710,1157741675890040844,"okay someone please help me out. i can no longer Devex, i’ve tried emailing a bunch of times, i don’t have any sort of ID and they emailed me saying there’s no other way to verify i own everything. now i don’t know what to do with my hard earned robux :( 

#roblox #RobloxDev",2022-04-18 21:41:22+00:00,,12,11,122,0,en,1516170046372040710,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'hashtags': [{'start': 257, 'end': 264, 'tag': 'roblox'}, {'start': 265, 'end': 275, 'tag': 'RobloxDev'}]}",,False,,everyone,Twitter for iPhone
