media_key,media_type,alt_text,duration_ms
3_1527071253391192067,photo,,
3_1527071055487062017,photo,,
3_1527070250394591232,photo,,
3_1527070892911648769,photo,,
3_1527070634924285955,photo,,
3_1527070404765855744,photo,,
3_1527070584198381570,photo,,
7_1527070527516463104,video,,90046.0
3_1527070466661400576,photo,,
3_1527069808554041344,photo,,
3_1527070051479715842,photo,,
3_1527069950673821699,photo,,
7_1527069890166853635,video,,35480.0
3_1527069238875283457,photo,Mold or Blood? By all means that's a large sludge.,
3_1527069238892150785,photo,A Tight space showing a singular outlet where would this go?,
3_1527069239688962048,photo,Pillars of the SouthWest Halls,
3_1527069240527839233,photo,Short walls in a massive area.,
3_1527069470254047239,photo,,
3_1527069528860991488,photo,,
3_1527069169656668162,photo,,
16_1527069145220763651,animated_gif,,
7_1527068656487759875,video,,31403.0
