userid,username,followers,tweets,profile_desc,location,verified,entities
1499709149336285186,OssyMessaoudi,1,183,NFTs x roblox,Algeria,False,
1474408051939713034,Zero_Mattis,22,216,"Roblox, twitter, I like to draw, I play roblox and I’m 13 years old.         i am also begon with YouTube channel : zero_mattis",,False,
1486610220511944707,ItzUnxty,4,432,I am not available on Twitter that much...,"Uk, Manchester.",False,
1056053249470541824,Roblox_RTC,457566,24465,It's our mission to be one with the community and make this the best place to be! | We are *NOT* @Roblox! | DM 💌 with new info! | Layout by: @PazeTweets,Following ≠ Endorsement,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/t4QnFMvIXg', 'expanded_url': 'http://rtcnews.ca', 'display_url': 'rtcnews.ca'}]}, 'description': {'mentions': [{'start': 97, 'end': 104, 'username': 'Roblox'}, {'start': 141, 'end': 152, 'username': 'PazeTweets'}]}}"
847950183941984257,RazorFishGaming,45514,14534,Use Code: RAZORFISH | 21&16 | Roblox YouTuber 850k+ Subscribers Combined RazorFishGaming & RFG,Metaverse,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UzycG7ucrl', 'expanded_url': 'https://www.youtube.com/channel/UCEzn-ACJ1Ky512YcqwwWDKg', 'display_url': 'youtube.com/channel/UCEzn-…'}]}}"
1469363760926281733,CUP1DVAL,158,2621,"︶꒦꒷♡꒷꒦︶︶꒦꒷♡꒷꒦︶
: ̗̀➛ ℭ𝔬𝔪𝔪𝔦𝔰𝔰𝔦𝔬𝔫 𝔞𝔯𝔱𝔦𝔰𝔱
      ||ℑ 𝔭𝔩𝔞𝔶 𝔤𝔢𝔫𝔰𝔥𝔦𝔫 𝔞𝔫𝔡 𝔯𝔬𝔟𝔩𝔬𝔵 ||

PFP BY THE AMAZING : @denvurdiorr",ZOOPHILES & MAPS DNI,False,"{'description': {'mentions': [{'start': 98, 'end': 110, 'username': 'denvurdiorr'}]}}"
888867384404176896,HelloItsVG,278054,4881,I love to do videos. Med Student. University Of Louisville.,Subscribe to VG,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RuHyCbt5Ei', 'expanded_url': 'http://bit.ly/HelloItsVGSub', 'display_url': 'bit.ly/HelloItsVGSub'}]}}"
1359263556277989380,TryHardGuides,743,3687,"No nonsense news and guides for video games, entertainment, tech, and more!",Earth,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tBLdvEIXso', 'expanded_url': 'https://tryhardguides.com/', 'display_url': 'tryhardguides.com'}]}}"
1391783564006526978,aimblox,9614,2081,Improve your aim or fight other players using over 40 weapons all in one Roblox training arena 🎯 New updates every Friday!!,Roblox,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ub7pEkWlwX', 'expanded_url': 'https://aimlab.pro/aimblox', 'display_url': 'aimlab.pro/aimblox'}]}}"
1277985836278185984,ThunderBeeper,163,21215,A terrible Minecraft Player and terrible Roblox Developer. Thank you @SpiderVerse for the banner! Channel:@ThunderTriangIe. I tweet a lot,The Multiverse,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/00SR9NtLND', 'expanded_url': 'http://youtube.com/channel/UCjJPirFg06NxqvXW2yPjs1g', 'display_url': 'youtube.com/channel/UCjJPi…'}]}, 'description': {'mentions': [{'start': 69, 'end': 81, 'username': 'SpiderVerse'}, {'start': 106, 'end': 122, 'username': 'ThunderTriangIe'}]}}"
