userid,username,followers,tweets,profile_desc,location,verified,entities
1474139215936073731,KawaiiskylerUwU,96,589,"Blue and Purple girl! Bunny Twin Moon☆ i Stand for @Itsfunneh  @LeahAshe (more) #BunnyLove
 
 Twin Sister @KawaiiSakuraUwU consins: @Kenemm23 @KawaiiAkari2",Canada,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/aT82E7DesO', 'expanded_url': 'https://ko-fi.com/kawaiiskyleruwu', 'display_url': 'ko-fi.com/kawaiiskyleruwu'}]}, 'description': {'hashtags': [{'start': 80, 'end': 90, 'tag': 'BunnyLove'}], 'mentions': [{'start': 51, 'end': 61, 'username': 'Itsfunneh'}, {'start': 63, 'end': 72, 'username': 'LeahAshe'}, {'start': 106, 'end': 122, 'username': 'KawaiiSakuraUwU'}, {'start': 132, 'end': 141, 'username': 'Kenemm23'}, {'start': 142, 'end': 155, 'username': 'KawaiiAkari2'}]}}"
1153011071101235201,teentltanz,1032,32004,the guardians pr manager (@lokisquotes),16 they/he/she white,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LifYzwdrYr', 'expanded_url': 'http://arkhamorigins.carrd.co', 'display_url': 'arkhamorigins.carrd.co'}]}, 'description': {'mentions': [{'start': 26, 'end': 38, 'username': 'lokisquotes'}]}}"
1465945245464489990,M4RKCITYZ,3136,81474,"⩩ O2O899, the day that a 𝐬𝐮𝐩𝐞𝐫star was about to be included in this 𝘄orld ; M✰RK 🎸",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/B29ZfherXe', 'expanded_url': 'https://secreto.site/id/a7q7c', 'display_url': 'secreto.site/id/a7q7c'}]}}"
1469123406050168835,jaemilkyna,4982,79538,✦ 𝗡–𝗖𝗧 ！☆  the greɑtest 𝗹𝗼𝘃𝗲  -  ꒰ 🎡 ꒱ my hɑppy pills ꒰ 🎠 ꒱ 𝟮𝟰/𝟳 think ɑbout them!,ᨦ hi deɑrly! ꒰🍰꒱ nct dreɑm cɑtlouvie ! ★ beloved visuɑl rɑpper ꒰🧸꒱ 𝗷𝗮𝗲𝗺𝗶𝗻 ɑnd 𝗷𝗲𝗻𝗼 ! 🪄🛼 loving them endlessly ૮₍ ˃⤙˂ ₎ა,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uw6QCkK1Y4', 'expanded_url': 'https://0428archieves.carrd.co/', 'display_url': '0428archieves.carrd.co'}]}}"
1408857742668800006,calmwatersrun,584,12125,☆ your local hero of time enthusiast | ☆ 🌙💌 @kinoWoods 💫,they/them,False,"{'description': {'mentions': [{'start': 44, 'end': 54, 'username': 'kinoWoods'}]}}"
1357177420063866886,SolariaAngel,1515,18975,"♡ Im a beginner chibu artist ~ This is @fluffy_rh formerly with 2.3k followers ~ banner by @mausuya , pfp by @milkyway080 ~ ENG / INDO / 中文 👌 ♫ ~ stan zhongchi",Liyue Harbor / fatoeey lover ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qwrHfxwz7U', 'expanded_url': 'https://solariadollfactory.carrd.co/#', 'display_url': 'solariadollfactory.carrd.co/#'}]}, 'description': {'mentions': [{'start': 39, 'end': 49, 'username': 'fluffy_rh'}, {'start': 91, 'end': 99, 'username': 'mausuya'}, {'start': 109, 'end': 121, 'username': 'milkyway080'}]}}"
1528052327189467139,SSSLeaksNews,429,231,Best source of leaks & news for Sonic Speed Simulator on Roblox! 👍 (Not affiliated with @gamefamstudios & @SEGA),Chemical Plant Zone,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5RCFzjB6Bi', 'expanded_url': 'https://www.roblox.com/games/9049840490/Sonic-Speed-Simulator', 'display_url': 'roblox.com/games/90498404…'}]}, 'description': {'mentions': [{'start': 88, 'end': 103, 'username': 'gamefamstudios'}, {'start': 106, 'end': 111, 'username': 'SEGA'}]}}"
1531474621668655106,wholesome_10,0,2,,,False,
1492181230065885184,Yo_nanay,64245,189,"🔞You've been warned☕ The boy is 19.
I EDIT vids. ©@Platically. 
2nd acc- @microbiafactor",,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/O6qRu3Vxh9', 'expanded_url': 'https://vt.tiktok.com/ZSdmeYux8/', 'display_url': 'vt.tiktok.com/ZSdmeYux8/'}]}, 'description': {'mentions': [{'start': 50, 'end': 61, 'username': 'Platically'}, {'start': 73, 'end': 88, 'username': 'microbiafactor'}]}}"
1432960154668920834,kreek18282,6,254,Oink OINK,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Hp3QisjTHk', 'expanded_url': 'http://www.roblox.com', 'display_url': 'roblox.com'}]}}"
