media_key,media_type,alt_text,duration_ms
3_1534875411326410752,photo,,
3_1534875351704387584,photo,,
3_1534875000611667975,photo,,
3_1534874995473924096,photo,,
7_1534874784818814976,video,,20639.0
3_1534874792419020800,photo,,
3_1534874657056509952,photo,,
7_1534874429251014658,video,,13049.0
16_1534874452202233859,animated_gif,,
3_1534874204444794880,photo,,
3_1534873484689432578,photo,,
3_1534874077604614144,photo,,
3_1534874117811318787,photo,,
3_1534874094432178176,photo,,
3_1534871870545215493,photo,"Did you know that the 67 million people, Builderman follows on Roblox. Happen to join 'Roblox' in the same Year & Month. All Of them have Been offline for 7 years as well
But Only One Of them Was Online 11 months ago Who goes by the name bomb079
 
bomb079 Worked with The Roblox Company back in 2014 He was also associated Admin, who is the first registered user on Roblox. The user ""Admin"" joined on June 30, 2004, with the ID of 1. Before the public release of Roblox, the Admin account was renamed to Roblox, and the username ""Admin"" was given to user ID 16 (and then 18) before the account was terminated on October 9, 2006. 

Admin was the first user to appear on Roblox. The ""Admin"" player was created by David Baszucki as a test for login functionality and place publishing system. So now bomb079 might be the only Roblox player to still be on the platform before Roblox was officially known well.
bomb079 Is One of the Roblox players who are still here today since The Outcome of Admin.",
3_1534873935258734592,photo,,
3_1534873670396813312,photo,,
7_1534873355551408129,video,,78533.0
3_1534873628143132674,photo,,
3_1534873632190734337,photo,,
3_1534873635931967488,photo,,
3_1534873632484171776,photo,,
3_1534872629806788609,photo,,
3_1534872739206828032,photo,,
3_1534872886292652032,photo,,
3_1534873375767678976,photo,,
3_1534873429589250048,photo,,
3_1534873054521593857,photo,,
3_1534873089170763776,photo,,
3_1534872958157529089,photo,,
3_1534873235560570882,photo,,
3_1534873151045152768,photo,,
3_1534871888312279040,photo,,
3_1534872586320252929,photo,,
3_1534872132408070145,photo,,
3_1534872132416524288,photo,,
3_1534872132437454849,photo,,
7_1534872210208350208,video,,5733.0
3_1534871985733664768,photo,,
3_1534872019703320577,photo,,
7_1534871911439671298,video,,67566.0
