media_key,media_type,alt_text,duration_ms
3_1528704470195920896,photo,,
3_1528704382594072576,photo,,
3_1528704282832297984,photo,,
7_1528704007732088833,video,,14738.0
3_1528703910868881408,photo,,
3_1528703826999627777,photo,,
7_1528703801066233859,video,,15649.0
3_1528703581687275522,photo,,
3_1528703534438535168,photo,,
3_1528702147407249409,photo,,
3_1528703138382815232,photo,,
3_1528702454292160512,photo,,
3_1528702459748978689,photo,,
3_1528702463280566273,photo,,
3_1528702466505981954,photo,,
3_1528701436254728192,photo,,
3_1528702183923134464,photo,,
3_1528702187505065985,photo,,
3_1528702191699361792,photo,,
3_1528702195461668864,photo,,
3_1528702113429147649,photo,,
3_1528702131607261184,photo,,
3_1528701829743140864,photo,,
3_1528701911494295552,photo,,
