media_key,media_type,alt_text,duration_ms
7_1517874549064359937,video,,14285.0
3_1517874484904091648,photo,,
3_1517874314296582145,photo,,
3_1517874274832465926,photo,,
3_1517874190443073540,photo,,
3_1517874234139168768,photo,,
3_1517874193693614080,photo,,
3_1517874111216861186,photo,,
16_1517873995307425793,animated_gif,,
3_1517873863581106177,photo,,
3_1517873488404561920,photo,,
3_1517872789822181377,photo,,
3_1517873323710959617,photo,,
3_1517873282762121219,photo,,
16_1517873208510545920,animated_gif,,
3_1517873070635204613,photo,,
3_1517872645093666816,photo,,
3_1517872743810842625,photo,,
3_1517872604601856003,photo,,
3_1517871933395640322,photo,,
3_1517872187079749633,photo,,
