media_key,media_type,alt_text,duration_ms
3_1534859192892375046,photo,,
3_1534958042831278081,photo,,
3_1534958043166822401,photo,,
3_1534958043863076878,photo,,
3_1534958044299264003,photo,,
3_1534957979098927104,photo,,
3_1534957853403926541,photo,,
3_1534957845590028293,photo,,
3_1534957803915333638,photo,,
3_1534957804007604224,photo,,
3_1534957470212300805,photo,,
3_1534957496749547520,photo,,
3_1534957564344930305,photo,,
3_1534957359293878272,photo,,
3_1534957353119977472,photo,,
3_1534957554257625089,photo,,
3_1534957518488748034,photo,,
3_1534957207292461057,photo,,
3_1534957256848048129,photo,,
3_1534956919898656785,photo,,
3_1534956931273609217,photo,,
3_1534956941461569536,photo,,
3_1534956951205031938,photo,,
3_1534957104980709391,photo,,
3_1534957104984993793,photo,,
3_1534957104980705281,photo,,
3_1534957104980803588,photo,,
3_1534957085196447744,photo,,
3_1534956763346358272,photo,,
3_1534956763350540289,photo,,
3_1534956763346354177,photo,,
3_1534957030921887745,photo,,
