media_key,media_type,alt_text,duration_ms
3_1520909557119156225,photo,,
3_1520909557114888193,photo,,
3_1520909557119131648,photo,,
3_1520909162930184192,photo,,
3_1520909119816884224,photo,,
3_1520909135373647873,photo,,
3_1520909150217199621,photo,,
3_1520909164582936576,photo,,
3_1520909043375788033,photo,,
3_1520908985246830592,photo,,
3_1520908985242722308,photo,,
3_1520908955270197250,photo,,
3_1520908680887214081,photo,,
3_1520908729197105153,photo,,
3_1520908729218060288,photo,,
3_1520908729226391553,photo,,
3_1520908729209606145,photo,,
3_1520908560204505089,photo,,
3_1520908622326345729,photo,,
3_1520908426733404162,photo,,
3_1520905604222668800,photo,,
3_1520908118590640128,photo,,
3_1520908132612034561,photo,,
3_1520908132666548226,photo,,
3_1520908132712693762,photo,,
3_1520908100546535424,photo,,
7_1503515551271993345,video,,15300.0
3_1520907994661326848,photo,,
3_1520907724451688449,photo,,
3_1520907388773011456,photo,,
7_1520907480041238531,video,,10299.0
3_1520907357118771201,photo,,
3_1520907357135507457,photo,,
