userid,username,followers,tweets,profile_desc,location,verified,entities
1430889278612017165,this_is_Mandys,52,1905,•Sou de exatas e sem coração•                                 It's just us☆ @Bunnysenpai1230 •     •ela/dela ele/dele•,,False,"{'description': {'mentions': [{'start': 76, 'end': 92, 'username': 'Bunnysenpai1230'}]}}"
1482077340926681094,bellarossini27,25,135,s!her - ENFJ - 🪐🌌☄️🌆,,False,
1466671917587333124,OneCoffeeMan,3,184,Just some guy,,False,
1377279064692637698,AmritAlma,192,46832,"im hirridok

untamable and dangerous

sometimes i like weird stuff

dont let that smile fool you, I'm always angry

https://t.co/cxMIPpzaXx",🇨🇱 ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8KmavNLbr3', 'expanded_url': 'https://youtu.be/e1OWVKtAp7s', 'display_url': 'youtu.be/e1OWVKtAp7s'}]}, 'description': {'urls': [{'start': 116, 'end': 139, 'url': 'https://t.co/cxMIPpzaXx', 'expanded_url': 'http://curiouscat.live/Hirridok', 'display_url': 'curiouscat.live/Hirridok'}]}}"
1474437110543400966,Zach_frog,0,18,🔞/ 英語を話す/roblox username:Zachthefrogie,,False,
1104076415807438849,MissValeriiee,41840,16547,"Hi, I'm Valerie! ✨ Part-time icon ✨ A 3D-Modeler and Roblox Dev I think! 

A moment of my work is linked below! 👑",♡ She/They ♡,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BBWxYrWdUT', 'expanded_url': 'https://twitter.com/i/events/1422817314190336000?s=20', 'display_url': 'twitter.com/i/events/14228…'}]}}"
1283032711582687233,LectricHedgehog,138,1829,"15 Year Old Artist/Dumbass
Not Gay, just on the PFP
I made ASH if anyone cared
Filler Text
Past PFP by @11KatherineAVI0, follow em
Banner by @DogboyRed2401",Your walls,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hs8F6di5T1', 'expanded_url': 'https://gamebanana.com/mods/309325', 'display_url': 'gamebanana.com/mods/309325'}]}, 'description': {'mentions': [{'start': 103, 'end': 119, 'username': '11KatherineAVI0'}, {'start': 141, 'end': 155, 'username': 'DogboyRed2401'}]}}"
1488711355234455554,jaemeowo,133,15700,cuchau,7dream.,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3PyGmTeCpQ', 'expanded_url': 'https://13080.carrd.co/', 'display_url': '13080.carrd.co'}]}}"
1438124919099908099,PrizeCpRoblox,405,1127,Roblox Studio Tutorials.  Follow us on Twitter and subscribe to our PrizeCP YouTube channel.,"New York, NY",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/g7aizNH7eL', 'expanded_url': 'https://www.youtube.com/channel/UCEFK_Y5qRMBG79IxWSABdqg', 'display_url': 'youtube.com/channel/UCEFK_…'}]}}"
1290350027655847938,LavishRBX,12,11,Official Twitter Account for Lavish Studios Roblox,Roblox,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/EUEXIDf5ZM', 'expanded_url': 'https://www.roblox.com/groups/7323776/Lavish-Studios#!/about', 'display_url': 'roblox.com/groups/7323776…'}]}}"
