media_key,media_type,alt_text,duration_ms
3_1518579572660396032,photo,,
7_1518579387808903169,video,,11068.0
3_1518577519330578433,photo,,
3_1518292231085600771,photo,,
3_1518579230149427200,photo,,
3_1518579162994425856,photo,,
3_1518578926641106944,photo,,
3_1518577663413211136,photo,,
3_1518578219091476484,photo,,
