media_key,media_type,alt_text,duration_ms
3_1523191830808080384,photo,,
3_1523191827045974016,photo,,
3_1523191154833043456,photo,,
3_1523188328559906816,photo,,
3_1523191040278102016,photo,,
3_1523191219249053701,photo,,
3_1523190868240441345,photo,,
7_1523190397371133953,video,,4566.0
7_1523190510453768194,video,,5751.0
3_1523190545186979840,photo,,
3_1523190458825981954,photo,,
3_1523189964531716097,photo,,
16_1523190023935381506,animated_gif,,
3_1523188789027299329,photo,,
3_1523189547147931650,photo,,
3_1523189092518924288,photo,,
