tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1536386017640468480,1286039604752199680,wear so close to 4k yall :O https://t.co/JiiH7q6L8p,2022-06-13 16:32:25+00:00,,3,12,55,0,en,1536386017640468480,[],"{'urls': [{'start': 28, 'end': 51, 'url': 'https://t.co/JiiH7q6L8p', 'expanded_url': 'https://twitter.com/eliixel/status/1536386017640468480/photo/1', 'display_url': 'pic.twitter.com/JiiH7q6L8p', 'media_key': '3_1536385988548825089'}]}",{'media_keys': ['3_1536385988548825089']},False,,everyone,Twitter Web App
1536707885530550275,1449141860191162373,@LolaJanie14 @Roblox Omgggg Lola I need a Starry Eyes Sparkling Face code! I will give you my soul AND a Shiny Blossom Panda! 🤞,2022-06-14 13:51:25+00:00,,0,2,1,0,en,1536455839615164416,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 0, 'end': 12, 'username': 'LolaJanie14', 'id': '1454529351995772932'}, {'start': 13, 'end': 20, 'username': 'Roblox', 'id': '16745055'}], 'annotations': [{'start': 105, 'end': 123, 'probability': 0.5371, 'type': 'Product', 'normalized_text': 'Shiny Blossom Panda'}]}",,False,,everyone,Twitter for Android
1536709781662187523,891320104977395712,@ConorKeighrey opens #MMVE workshop at #MMsys2022 👏 https://t.co/UE7hiFUDgU,2022-06-14 13:58:57+00:00,,7,1,13,0,en,1536709781662187523,[],"{'hashtags': [{'start': 21, 'end': 26, 'tag': 'MMVE'}, {'start': 39, 'end': 49, 'tag': 'MMsys2022'}], 'urls': [{'start': 52, 'end': 75, 'url': 'https://t.co/UE7hiFUDgU', 'expanded_url': 'https://twitter.com/acmmmsys/status/1536709781662187523/photo/1', 'display_url': 'pic.twitter.com/UE7hiFUDgU', 'media_key': '3_1536709774385070081'}], 'mentions': [{'start': 0, 'end': 14, 'username': 'ConorKeighrey', 'id': '497780842'}]}",{'media_keys': ['3_1536709774385070081']},False,,everyone,Twitter for iPhone
1536382774285852675,1532280391154905089,BREAKING!: Roblox is officially shutting down!😥 Comment your thoughts! https://t.co/NeasHJFr3x,2022-06-13 16:19:32+00:00,,279,1946,2347,63,en,1536382774285852675,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'urls': [{'start': 71, 'end': 94, 'url': 'https://t.co/NeasHJFr3x', 'expanded_url': 'https://twitter.com/Robloxx_RTC/status/1536382774285852675/photo/1', 'display_url': 'pic.twitter.com/NeasHJFr3x', 'media_key': '3_1536382723224391682'}, {'start': 71, 'end': 94, 'url': 'https://t.co/NeasHJFr3x', 'expanded_url': 'https://twitter.com/Robloxx_RTC/status/1536382774285852675/photo/1', 'display_url': 'pic.twitter.com/NeasHJFr3x', 'media_key': '3_1536382723241168896'}], 'annotations': [{'start': 11, 'end': 16, 'probability': 0.2723, 'type': 'Organization', 'normalized_text': 'Roblox'}]}","{'media_keys': ['3_1536382723224391682', '3_1536382723241168896']}",False,,everyone,TweetDeck
1535454842613039104,1087861863965110272,Am working on making the MM2 lobby look like it's in the upside down! #roblox #StrangerThings https://t.co/7RBLDXkxOu,2022-06-11 02:52:16+00:00,,4,10,25,3,en,1535454842613039104,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10045675573', 'name': 'Stranger Things (Netflix)'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10046426305', 'name': 'Stranger Things'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10051425401', 'name': 'Stranger Things'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '172', 'name': 'Global TV Show', 'description': 'For global/conceptual TV shows without localization.'}, 'entity': {'id': '1223187634983292929', 'name': 'Stranger Things'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10045675573', 'name': 'Stranger Things (Netflix)'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '10045675573', 'name': 'Stranger Things (Netflix)'}}]","{'hashtags': [{'start': 70, 'end': 77, 'tag': 'roblox'}, {'start': 78, 'end': 93, 'tag': 'StrangerThings'}], 'urls': [{'start': 94, 'end': 117, 'url': 'https://t.co/7RBLDXkxOu', 'expanded_url': 'https://twitter.com/2TrueCL/status/1535454842613039104/video/1', 'display_url': 'pic.twitter.com/7RBLDXkxOu', 'media_key': '7_1535454639185100802'}]}",{'media_keys': ['7_1535454639185100802']},False,,everyone,Twitter Web App
1536552993226731531,1357144871312777220,"X: STAY anda haciendo trampa 😡 no es posible que hayan ganado tantos votos en unas horas, hackearon la votación y la aplicación🤬

STAY: cómo descargo la app para votar? dónde va mi nombre? me esplican?!",2022-06-14 03:35:56+00:00,,322,43,1951,82,es,1536552993226731531,[],,,False,,everyone,Twitter for Android
1536640046664519680,1282222008650969091,"1.7k robux giveaway 

Rules:
•follow me (@vmufyfy ) and @ami69414262
• like n Rwt w tags 
• tag a friend 
• comment done 

Extras:
• stay active 

Proofs below ⬇️",2022-06-14 09:21:51+00:00,,169,159,192,123,en,1536640046664519680,[],"{'mentions': [{'start': 41, 'end': 49, 'username': 'vmufyfy', 'id': '1282222008650969091'}, {'start': 56, 'end': 68, 'username': 'ami69414262', 'id': '1486379398542639111'}]}",,False,,mentionedUsers,Twitter Web App
1536695671134244865,14457838,"@travisjohnson @sgtcfb @yo__fo @colleen_eileen You've got to survive until that point, though!

Signed,
Dad of a 1-year-old who wakes up at 5AM and an almost 4-year-old who wakes up with at least 5 questions.",2022-06-14 13:02:53+00:00,,0,3,24,0,en,1536347137390301185,[],"{'mentions': [{'start': 0, 'end': 14, 'username': 'travisjohnson', 'id': '14875758'}, {'start': 15, 'end': 22, 'username': 'sgtcfb', 'id': '1329384201993342976'}, {'start': 23, 'end': 30, 'username': 'yo__fo', 'id': '24362576'}, {'start': 31, 'end': 46, 'username': 'colleen_eileen', 'id': '987167307683147777'}]}",,False,,everyone,Twitter Web App
1536672846381842432,1373866656695390212,f1 teams on roblox are so https://t.co/2jLufUMfoj,2022-06-14 11:32:11+00:00,,419,79,8313,121,en,1536672846381842432,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10002765236', 'name': 'Formula One Racing', 'description': 'Auto racing action from the Formula One circuit.'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '1058103880376971264', 'name': 'Racing', 'description': 'Racing'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '854701577994616832', 'name': 'Formula 1', 'description': 'Formula 1'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '993861377084162052', 'name': 'Formula 1 Live Show', 'description': ' '}}]","{'urls': [{'start': 26, 'end': 49, 'url': 'https://t.co/2jLufUMfoj', 'expanded_url': 'https://twitter.com/tzunoda/status/1536672846381842432/photo/1', 'display_url': 'pic.twitter.com/2jLufUMfoj', 'media_key': '3_1536672836399824896'}, {'start': 26, 'end': 49, 'url': 'https://t.co/2jLufUMfoj', 'expanded_url': 'https://twitter.com/tzunoda/status/1536672846381842432/photo/1', 'display_url': 'pic.twitter.com/2jLufUMfoj', 'media_key': '3_1536672837557436416'}, {'start': 26, 'end': 49, 'url': 'https://t.co/2jLufUMfoj', 'expanded_url': 'https://twitter.com/tzunoda/status/1536672846381842432/photo/1', 'display_url': 'pic.twitter.com/2jLufUMfoj', 'media_key': '3_1536672838543081475'}, {'start': 26, 'end': 49, 'url': 'https://t.co/2jLufUMfoj', 'expanded_url': 'https://twitter.com/tzunoda/status/1536672846381842432/photo/1', 'display_url': 'pic.twitter.com/2jLufUMfoj', 'media_key': '3_1536672838908014592'}]}","{'media_keys': ['3_1536672836399824896', '3_1536672837557436416', '3_1536672838543081475', '3_1536672838908014592']}",False,,everyone,Twitter for iPhone
1536436343307395072,1346518190441029643,I miss 2017 Roblox 🥲,2022-06-13 19:52:24+00:00,,0,5,28,0,en,1536436343307395072,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]",,,False,,everyone,Twitter for iPhone
