media_key,media_type,alt_text,duration_ms
3_1535976389308035072,photo,,
3_1535976379367542784,photo,,
7_1535975819549483014,video,,4863.0
3_1535976274685992965,photo,,
3_1535976245573427201,photo,,
3_1535976057161289730,photo,,
7_1535975863505780737,video,,5534.0
16_1535976021178175488,animated_gif,,
7_1535975924629491717,video,,13002.0
3_1535975861148590081,photo,,
3_1535975861156990978,photo,,
3_1535975581929578496,photo,,
3_1535975340639756288,photo,,
3_1535975026473807873,photo,,
3_1535974944445812736,photo,,
3_1535974572692062208,photo,,
7_1535974519277506560,video,,14500.0
3_1535974205984059392,photo,,
3_1535974280839983104,photo,,
3_1535974185381552131,photo,,
3_1535974026912632832,photo,,
3_1535973407049023490,photo,,
3_1535971718463991808,photo,,
3_1535971751615778817,photo,,
7_1535972945184849921,video,,50953.0
3_1535973219479572482,photo,,
3_1535973219492143106,photo,,
3_1535973219483664384,photo,,
3_1535972779861868544,photo,,
3_1535972875823349760,photo,,
16_1535972805249859585,animated_gif,,
3_1535972770320101376,photo,,
3_1535972693455286274,photo,,
3_1535972693551751168,photo,,
3_1535972693522399232,photo,,
3_1535972693568532480,photo,,
