media_key,media_type,alt_text,duration_ms
3_1514904929445597188,photo,,
3_1514904899909480451,photo,,
3_1514904907903807489,photo,,
3_1514904915180920833,photo,,
3_1514904922441252865,photo,,
3_1514904652420202498,photo,,
3_1514904662947897346,photo,,
3_1514904628755763201,photo,,
3_1514904628810313730,photo,,
3_1514904407326212099,photo,,
3_1514904508874338305,photo,,
3_1514904331744690182,photo,,
3_1514904157987110914,photo,,
3_1514904083483795459,photo,,
3_1514903965879648266,photo,,
3_1514903960053768193,photo,,
3_1514903850846941184,photo,,
3_1514903206245318657,photo,,
3_1514903209693052928,photo,,
3_1514903129145323522,photo,,
3_1514902627883966468,photo,,
3_1514902627913412614,photo,,
3_1514902386216779778,photo,,
3_1514902184370089987,photo,,
