media_key,media_type,alt_text,duration_ms
3_1528559383235665920,photo,,
3_1528558563181854720,photo,,
3_1528559311135326217,photo,,
7_1528559024089845763,video,,59207.0
3_1528559197570207744,photo,,
16_1528558844200222720,animated_gif,,
16_1528558791683358722,animated_gif,,
3_1528558772905316352,photo,,
3_1528558777221271553,photo,,
3_1528558780933210113,photo,,
3_1528558785094033409,photo,,
3_1528558687685591046,photo,,
16_1528558665330040833,animated_gif,,
7_1528558319912230914,video,,59387.0
3_1528557806944665600,photo,,
3_1528557826397704193,photo,,
