media_key,media_type,alt_text,duration_ms
3_1514225150694072320,photo,,
3_1529226196793405441,photo,,
3_1529225087735537664,photo,,
7_1529224800639635458,video,,28444.0
3_1529225685524430849,photo,,
3_1529225518872031232,photo,,
3_1529225288617545729,photo,Rest in peace floppa,
3_1529225117154295808,photo,,
3_1529225213560471552,photo,,
3_1529225208942428161,photo,,
3_1529225093326438401,photo,,
3_1529225034157416452,photo,,
3_1529224932697194507,photo,,
3_1529224147078991874,photo,,
3_1529224492249235458,photo,,
