media_key,media_type,alt_text,duration_ms
3_1519837155509825536,photo,,
3_1519837155505602560,photo,,
3_1519837155509805056,photo,,
3_1519837155505635328,photo,,
7_1519836853343555585,video,,16299.0
7_1519836710644989952,video,,57383.0
16_1519836818467872769,animated_gif,,
7_1519836723638939652,video,,38682.0
3_1519836518285811713,photo,,
3_1519836587965702145,photo,,
3_1519836560660877313,photo,,
3_1519836412442558465,photo,,
7_1519836342305370112,video,,5781.0
16_1519836068115324929,animated_gif,,
3_1519836052630151168,photo,,
3_1519836056325345280,photo,,
3_1519836059391361024,photo,,
3_1519836061605990401,photo,,
3_1519835660550557698,photo,,
3_1519835663234908160,photo,,
7_1519835352781012994,video,,29290.0
3_1519835552744296448,photo,,
3_1519835242680492032,photo,,
3_1519834725241999360,photo,,
3_1519834691079221249,photo,,
