media_key,media_type,alt_text,duration_ms
3_1517185575324897284,photo,,
3_1517185227776577538,photo,,
3_1517185279035154433,photo,,
3_1517185333301026816,photo,,
3_1517185372165390337,photo,,
3_1517185333812772864,photo,Lol!!! 🤣,
3_1517184691643822080,photo,,
3_1517184792533610496,photo,,
3_1517185024243736576,photo,,
3_1517185008892534789,photo,,
3_1517184599113322497,photo,,
3_1517185036193345537,photo,,
3_1517184987245776897,photo,,
3_1517184987077890068,photo,,
7_1517184631048589331,video,,11216.0
7_1517184648425746432,video,,12683.0
3_1517184572777185280,photo,,
3_1517184572936622080,photo,,
3_1517184572772999168,photo,,
3_1517182236776448001,photo,,
3_1517183725917945856,photo,,
3_1517183083975364610,photo,,
3_1517183239839895553,photo,,
3_1517183513841192963,photo,,
