tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1529104694748057601,1132099522405044225,Type roblox with your elbow,2022-05-24 14:19:03+00:00,,35,2103,1288,12,en,1529104694748057601,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]",,,False,,everyone,Twitter for iPhone
1506694814062063619,3065618342,so... what are your top 3 games of the 2020s so far?,2022-03-23 18:10:11+00:00,,893,7116,45199,1025,en,1506694814062063619,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1168499224297656321', 'name': 'Discord'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}]",,,False,,everyone,Twitter Web App
1529200440973352960,2575322156,@CaNerdIan Clean tool. What kind?,2022-05-24 20:39:30+00:00,,0,2,1,0,en,1529199720324816897,[],"{'mentions': [{'start': 0, 'end': 10, 'username': 'CaNerdIan', 'id': '13036752'}]}",,False,,everyone,Twitter Web App
1529222135767371776,317264460,"(2) Have you heard of the game ""Among Us"" that you or your kids probably play? It has a cult following and they are taking it to the #blockchain for a #P2E game that IMO will be leading the #NFT game space for years to come.",2022-05-24 22:05:43+00:00,,0,1,2,0,en,1529222134295195648,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1001503516555337728', 'name': 'Blockchain', 'description': 'Blockchain'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1308398176978698241', 'name': 'Among Us'}}]","{'hashtags': [{'start': 133, 'end': 144, 'tag': 'blockchain'}, {'start': 151, 'end': 155, 'tag': 'P2E'}, {'start': 190, 'end': 194, 'tag': 'NFT'}]}",,False,,everyone,Twitter Web App
1529220632205897728,1002736099054243843,Saudades!!! Você está maravilhosa,2022-05-24 21:59:44+00:00,,5,22,394,1,pt,1529220632205897728,[],,,False,,everyone,Twitter for iPhone
1528994893955309568,1514219981264887808,"When did u download roblox?
When did u download twitter",2022-05-24 07:02:44+00:00,,12,145,187,0,en,1528994893955309568,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'Twitter'}}]","{'annotations': [{'start': 48, 'end': 54, 'probability': 0.647, 'type': 'Product', 'normalized_text': 'twitter'}]}",,False,,everyone,Twitter for iPad
1529217204008259587,3025674465,"It’s terrifying living in America. 

If you’re LGBTQ, you lose your rights. 
If you’re a woman, you lose your rights. 
If you’re poor, you can’t go to the doctor. 
If you go to the store, you get shot.
If you’re a student, you get shot. 

Something has to change. Enough is enough",2022-05-24 21:46:07+00:00,,1673,1262,11801,146,en,1529217204008259587,[],"{'annotations': [{'start': 26, 'end': 32, 'probability': 0.9976, 'type': 'Place', 'normalized_text': 'America'}]}",,False,,everyone,Twitter for iPhone
1529213160275988480,1327001004886413313,Aliméntame y dime lindura- https://t.co/6Z3julllkG,2022-05-24 21:30:03+00:00,,0,0,1,1,es,1529213160275988480,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '834828264786898945', 'name': 'Drinks', 'description': 'Drinks'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '834828445238431744', 'name': 'Generic Drinks', 'description': 'Generic Drinks'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '850442647088971776', 'name': 'Coffee', 'description': 'Coffee'}}]","{'urls': [{'start': 27, 'end': 50, 'url': 'https://t.co/6Z3julllkG', 'expanded_url': 'https://twitter.com/rainlvrsk/status/1529201995357224965', 'display_url': 'twitter.com/rainlvrsk/stat…'}]}",,False,,everyone,Twitter Web App
1529221846217785344,1283423854807748609,@sophia23029152 @PlayAdoptMe thank you so much! it means a lot to me :),2022-05-24 22:04:34+00:00,,0,1,1,0,en,1529221611270082560,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1229416301245763584', 'name': 'Adopt Me'}}]","{'mentions': [{'start': 0, 'end': 15, 'username': 'sophia23029152', 'id': '1259720474461954050'}, {'start': 16, 'end': 28, 'username': 'PlayAdoptMe', 'id': '1145825695941222400'}]}",,False,,everyone,Twitter for Android
1529213413938843654,1424042730410455048,not me annoying @Smoothie_Roblox 🤓 https://t.co/tYn3YWZJDf,2022-05-24 21:31:03+00:00,,1,2,5,0,en,1529213413938843654,[],"{'urls': [{'start': 35, 'end': 58, 'url': 'https://t.co/tYn3YWZJDf', 'expanded_url': 'https://twitter.com/SannasLilToes/status/1529213413938843654/photo/1', 'display_url': 'pic.twitter.com/tYn3YWZJDf', 'media_key': '3_1529213411220930573'}]}",{'media_keys': ['3_1529213411220930573']},False,,everyone,Twitter for iPhone
