media_key,media_type,alt_text,duration_ms
3_1514681311172116491,photo,,
3_1514681260395974658,photo,,
3_1514681302041214984,photo,,
3_1514681294059290634,photo,,
3_1514681111565197312,photo,,
3_1514681134289862666,photo,,
3_1514681195535159303,photo,,
3_1514681245883678720,photo,,
3_1514681244793159682,photo,,
3_1514681243727802373,photo,,
7_1514680815241814017,video,,6600.0
3_1514681217223905280,photo,,
3_1514681151603949601,photo,,
3_1514681152723771395,photo,,
3_1514681208311009282,photo,,
3_1514681187310178306,photo,,
3_1514680948490657801,photo,,
3_1514681178166550536,photo,,
3_1514681182453215240,photo,,
3_1514681143093862405,photo,,
3_1514681118456528902,photo,,
3_1514681148257062912,photo,,
3_1514680950143307778,photo,,
3_1514681098814513153,photo,,
3_1514680885945196546,photo,,
3_1514681052853325832,photo,,
3_1514681090761445376,photo,,
3_1514681065822212102,photo,,
3_1514681065817919504,photo,,
3_1514681069320257542,photo,,
3_1514681029394587654,photo,,
3_1514681032871759879,photo,,
3_1514681019311575045,photo,,
