media_key,media_type,alt_text,duration_ms
3_1521801471683031040,photo,,
3_1521801458647461889,photo,,
16_1521801359045144576,animated_gif,,
3_1521801337796759556,photo,,
3_1521801249515274240,photo,,
3_1521801288123490304,photo,,
3_1521801288115113986,photo,,
3_1521801224084885504,photo,,
7_1521800821155020800,video,,5479.0
3_1521801209161543681,photo,,
3_1521801148130230273,photo,,
3_1521801138223341568,photo,,
16_1521801140094054400,animated_gif,,
