tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1532534026132520960,27188968,This is your notifications when you run @Roblox’s TikTok account 🫠 https://t.co/cZkXedubh7,2022-06-03 01:25:59+00:00,{'place_id': '432daa3153c5fef9'},80,116,3062,7,en,1532534026132520960,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596157181956', 'name': 'Online Site'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1286296657135468545', 'name': 'TikTok'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 40, 'end': 47, 'username': 'Roblox', 'id': '16745055'}], 'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/cZkXedubh7', 'expanded_url': 'https://twitter.com/Ben_Ruiz/status/1532534026132520960/photo/1', 'display_url': 'pic.twitter.com/cZkXedubh7', 'media_key': '3_1532534024219987968'}]}",{'media_keys': ['3_1532534024219987968']},False,,everyone,Twitter for iPhone
1532150116936781825,25919401,What do you think of my new @Roblox Avatar? We are inspiring a new generation of leaders who will make a difference in the world. 💙🇺🇸#RobloxDev https://t.co/sT1Lg1xLCn,2022-06-02 00:00:28+00:00,,985,1048,7819,441,en,1532150116936781825,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 28, 'end': 35, 'username': 'Roblox', 'id': '16745055'}], 'urls': [{'start': 144, 'end': 167, 'url': 'https://t.co/sT1Lg1xLCn', 'expanded_url': 'https://twitter.com/AllenLEllison/status/1532150116936781825/video/1', 'display_url': 'pic.twitter.com/sT1Lg1xLCn', 'media_key': '7_1532150067322314762'}], 'hashtags': [{'start': 133, 'end': 143, 'tag': 'RobloxDev'}]}",{'media_keys': ['7_1532150067322314762']},False,,everyone,Twitter for iPhone
1532719488029835271,1326952203983220736,@odairdesire Minecraft🤩,2022-06-03 13:42:57+00:00,,0,1,0,0,en,1532713944011390978,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597218340864', 'name': 'Video Games'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '10043689888', 'name': 'Minecraft'}}]","{'mentions': [{'start': 0, 'end': 12, 'username': 'odairdesire', 'id': '1249443150'}]}",,False,,everyone,Twitter for iPhone
1532490906833522688,1409084137453998087,Do you see yourself? https://t.co/uwrmK04fQH,2022-06-02 22:34:39+00:00,,0,17,16,0,en,1532490906833522688,[],"{'urls': [{'start': 21, 'end': 44, 'url': 'https://t.co/uwrmK04fQH', 'expanded_url': 'https://twitter.com/DeadAsIceC01d/status/1532490906833522688/photo/1', 'display_url': 'pic.twitter.com/uwrmK04fQH', 'media_key': '3_1532490903855968256'}]}",{'media_keys': ['3_1532490903855968256']},False,,everyone,Twitter for Android
1532477932324675590,1452314839347564557,PJO characters as iPads: a thread 🧵,2022-06-02 21:43:05+00:00,,14,9,92,2,en,1532477932324675590,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026364281', 'name': 'Apple'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '972153731067273222', 'name': 'Apple iPad', 'description': 'Apple iPad'}}]",,,False,,everyone,Twitter for iPad
1532699700931219457,1379659497732472832,"🎗️Small adopt me giveaway!🎗️

RULES:
Follow me w/notifs on 🔔
Like n rt
Qrt w/tags
comment ""done"" 

Extras in thread ^^

💗TAGS:💗
#adoptme #adoptmegiveaway #adoptmegiveaways #adoptmerobloxpets #giveaway #adoptmetrade #adoptmeroblox https://t.co/o1DqCYjTdt",2022-06-03 12:24:19+00:00,,42,40,45,34,en,1532699700931219457,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1229416301245763584', 'name': 'Adopt Me'}}]","{'urls': [{'start': 230, 'end': 253, 'url': 'https://t.co/o1DqCYjTdt', 'expanded_url': 'https://twitter.com/sknxhae/status/1532699700931219457/photo/1', 'display_url': 'pic.twitter.com/o1DqCYjTdt', 'media_key': '3_1532699685307453440'}, {'start': 230, 'end': 253, 'url': 'https://t.co/o1DqCYjTdt', 'expanded_url': 'https://twitter.com/sknxhae/status/1532699700931219457/photo/1', 'display_url': 'pic.twitter.com/o1DqCYjTdt', 'media_key': '3_1532699692727169025'}, {'start': 230, 'end': 253, 'url': 'https://t.co/o1DqCYjTdt', 'expanded_url': 'https://twitter.com/sknxhae/status/1532699700931219457/photo/1', 'display_url': 'pic.twitter.com/o1DqCYjTdt', 'media_key': '3_1532699697730977792'}], 'hashtags': [{'start': 128, 'end': 136, 'tag': 'adoptme'}, {'start': 137, 'end': 153, 'tag': 'adoptmegiveaway'}, {'start': 154, 'end': 171, 'tag': 'adoptmegiveaways'}, {'start': 172, 'end': 190, 'tag': 'adoptmerobloxpets'}, {'start': 191, 'end': 200, 'tag': 'giveaway'}, {'start': 201, 'end': 214, 'tag': 'adoptmetrade'}, {'start': 215, 'end': 229, 'tag': 'adoptmeroblox'}]}","{'media_keys': ['3_1532699685307453440', '3_1532699692727169025', '3_1532699697730977792']}",False,,mentionedUsers,Twitter for Android
1532716838370541580,227432818,"Quickly! Reply with questions for me, my mum and my sister to answer in our Q&amp;A vlog!!! Go!!",2022-06-03 13:32:25+00:00,,3,61,143,0,en,1532716838370541580,[],,,False,,everyone,Twitter for iPhone
1529770336937562112,16913418,Gucci Town is coming to @Roblox. Start exploring tomorrow. #AlessandroMichele #GucciTown https://t.co/0PvtDCKUAg,2022-05-26 10:24:04+00:00,,392,799,3731,163,en,1529770336937562112,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596807299072', 'name': 'Apparel/Accessories'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1266401847104827392', 'name': 'Gucci'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1256236649253449729', 'name': 'Fashion & beauty'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}, {'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'mentions': [{'start': 24, 'end': 31, 'username': 'Roblox', 'id': '16745055'}], 'annotations': [{'start': 0, 'end': 9, 'probability': 0.6118, 'type': 'Organization', 'normalized_text': 'Gucci Town'}], 'urls': [{'start': 89, 'end': 112, 'url': 'https://t.co/0PvtDCKUAg', 'expanded_url': 'https://twitter.com/gucci/status/1529770336937562112/photo/1', 'display_url': 'pic.twitter.com/0PvtDCKUAg', 'media_key': '3_1529770322639060992'}], 'hashtags': [{'start': 59, 'end': 77, 'tag': 'AlessandroMichele'}, {'start': 78, 'end': 88, 'tag': 'GucciTown'}]}",{'media_keys': ['3_1529770322639060992']},False,,everyone,Twitter Web App
1532455410673651712,1251677662810042371,Type “Roblox” with your eyes closed…,2022-06-02 20:13:36+00:00,,76,3952,1509,36,en,1532455410673651712,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]",,,False,,everyone,Twitter for iPhone
1532565060450537473,1482747358341627904,"@QueenGacha13 @nOAHhHhH0 @Roblox @Vans Ooh thats actually pretty cute
9 out 10",2022-06-03 03:29:18+00:00,,0,1,3,0,en,1532471600427069440,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596807299072', 'name': 'Apparel/Accessories'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10024011481', 'name': 'Vans'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}]","{'mentions': [{'start': 0, 'end': 13, 'username': 'QueenGacha13', 'id': '1499524451209293829'}, {'start': 14, 'end': 24, 'username': 'nOAHhHhH0', 'id': '1390640133284716546'}, {'start': 25, 'end': 32, 'username': 'Roblox', 'id': '16745055'}, {'start': 33, 'end': 38, 'username': 'Vans', 'id': '15383636'}]}",,False,,everyone,Twitter for Android
