media_key,media_type,alt_text,duration_ms
3_1513065492688293892,photo,,
3_1513065392490840067,photo,,
3_1513065392775774211,photo,,
3_1513065306461245441,photo,,
3_1513065250823753735,photo,,
3_1513065185455767556,photo,,
3_1513064894882537475,photo,,
7_1513064170358513666,video,,118281.0
3_1513064941242425348,photo,,
3_1513064957524713477,photo,,
3_1513064973723140097,photo,,
3_1513064986276667395,photo,,
7_1513064931591077896,video,,22266.0
3_1513064963899854850,photo,,
3_1513064676845838336,photo,,
3_1513064491919245315,photo,,
3_1513064350965248000,photo,,
3_1513064044156145668,photo,,
3_1513064449556500480,photo,,
3_1513064340710207494,photo,,
3_1512905550434033665,photo,,
3_1513064224716881930,photo,,
3_1513063783715192832,photo,,
3_1513063341853638656,photo,,
3_1511535203096973313,photo,,
3_1513062991843196929,photo,,
3_1513063056573894657,photo,,
3_1513062906094661634,photo,,
3_1513062908640612354,photo,,
3_1513062901690822656,photo,,
3_1513062476161687553,photo,,
3_1513062225787092993,photo,,
3_1513061804594896900,photo,,
3_1513061804741730304,photo,,
3_1513061804792233985,photo,,
3_1513061731836342282,photo,,
