media_key,media_type,alt_text,duration_ms
3_1528729854245470209,photo,Current thumbnail for Legoblox Parkour [Beta],
7_1528729654668021760,video,,8161.0
3_1528729435603623936,photo,,
3_1528727670346874886,photo,,
3_1528729198461964289,photo,,
16_1528729248005226496,animated_gif,,
16_1528728657941913600,animated_gif,,
3_1528729077544529920,photo,,
3_1528728699264434178,photo,,
3_1528728642301624320,photo,,
3_1528728565872836609,photo,,
3_1528728146740228096,photo,,
16_1528728357638053888,animated_gif,,
3_1528728036727988224,photo,,
3_1528727583591780352,photo,,
3_1528727583591804929,photo,,
3_1528727822826721280,photo,,
3_1528727825506762755,photo,,
3_1528727831936749568,photo,,
3_1528727834763599872,photo,,
3_1528727779398897664,photo,,
