media_key,media_type,alt_text,duration_ms
3_1514660458942373888,photo,,
3_1514660461198778391,photo,,
3_1514660464109625361,photo,,
3_1514660280810151937,photo,,
3_1514660252360187916,photo,,
3_1514660203504934931,photo,,
3_1514660205308485640,photo,,
16_1514660147645370376,animated_gif,,
3_1514659945957892104,photo,,
3_1514659686829670400,photo,,
16_1514659453416747016,animated_gif,,
3_1514659331119230981,photo,,
3_1514659264882692098,photo,,
3_1514659115989016607,photo,,
3_1514659115984822294,photo,,
3_1514659107617263616,photo,,
3_1514658970669133831,photo,,
3_1514659079855161348,photo,,
3_1514659042358005760,photo,,
7_1514658780524564485,video,,73935.0
3_1514658872832704517,photo,,
