media_key,media_type,alt_text,duration_ms
3_1519293622021234694,photo,,
3_1519292906984644609,photo,,
3_1519293307859386368,photo,,
3_1519293128275939328,photo,,
3_1519293128921927680,photo,,
3_1519292849317105665,photo,,
3_1519292584094445569,photo,,
3_1519292525646794753,photo,,
3_1519292215558045697,photo,,
3_1519292345769938944,photo,,
3_1519291393403133954,photo,,
