media_key,media_type,alt_text,duration_ms
16_1522912884736487426,animated_gif,,
3_1522141993199337472,photo,,
3_1522141997276233728,photo,,
3_1522912298125438979,photo,,
3_1522912232333582336,photo,,
3_1522912017887150081,photo,,
3_1522912017899831297,photo,,
3_1522912017891434496,photo,,
3_1522912017899741184,photo,,
3_1522910653920468993,photo,,
3_1522910673163984900,photo,,
3_1522911187377209346,photo,,
3_1522911476960436226,photo,,
7_1522911409142738945,video,,32372.0
3_1522911256902094852,photo,,
3_1522911248454762497,photo,,
3_1522775577928810496,photo,,
3_1522775577916329984,photo,,
3_1522911048218652672,photo,,
3_1522911064496930818,photo,,
3_1522911063737573376,photo,,
3_1522911054510141441,photo,,
3_1522911054510100480,photo,,
3_1522911054522720256,photo,,
3_1522910707825745920,photo,,
3_1522910745285087235,photo,,
3_1522910942182453248,photo,,
3_1522911017080135682,photo,,
3_1522910989158690817,photo,,
3_1522910989162881026,photo,,
3_1522910967142748160,photo,,
7_1522910619858522113,video,,86207.0
3_1522909524834795520,photo,,
3_1522910543950057472,photo,,
3_1522910533334323200,photo,,
