media_key,media_type,alt_text,duration_ms
16_1530254591744364545,animated_gif,,
3_1530254456276799490,photo,,
3_1530254324902805506,photo,,
3_1530254325657870340,photo,,
3_1530253795078418434,photo,,
3_1530253054758428672,photo,,
3_1530253077558620161,photo,,
3_1530253459819319296,photo,,
3_1530252987247083520,photo,,
3_1530253056872435712,photo,,
3_1530253098924531713,photo,,
3_1530253206252666882,photo,,
3_1530253212850307073,photo,,
3_1530252955299061760,photo,,
3_1530252819466440706,photo,,
3_1530252909014917120,photo,,
3_1530252906917765124,photo,,
3_1530252792341872640,photo,,
16_1530252778194468869,animated_gif,,
3_1530252212932333569,photo,,
3_1530252146406477825,photo,,
3_1530252108510920706,photo,,
3_1530252019319062528,photo,,
