media_key,media_type,alt_text,duration_ms
3_1522097790205181953,photo,,
3_1522097582918574080,photo,,
3_1522097587612004353,photo,,
3_1522097386461487104,photo,,
3_1522097001441071105,photo,,
3_1522097170823983106,photo,,
16_1522096715704250373,animated_gif,,
3_1522096090027278337,photo,,
3_1522096016618446850,photo,,
3_1522095179217350656,photo,,
3_1522095025697423364,photo,,
