media_key,media_type,alt_text,duration_ms
3_1522160980288884736,photo,,
3_1522160980288958464,photo,,
3_1522161122035572736,photo,,
3_1522160722871869442,photo,,
3_1522160734813122561,photo,,
3_1522160180943028230,photo,,
3_1522160441681747968,photo,,
7_1522159518766931968,video,,45111.0
3_1522159965527437312,photo,,
3_1522159965531557888,photo,,
3_1522159965531611136,photo,,
3_1522159965527437313,photo,,
3_1522159848426819584,photo,,
3_1522159823336484865,photo,,
3_1522159572525645825,photo,,
3_1522141993199337472,photo,,
3_1522141997276233728,photo,,
3_1522159268648136712,photo,,
3_1522144162694725632,photo,,
3_1522159037680611330,photo,,
3_1522159028688007168,photo,,
3_1522158536817405954,photo,,
3_1522158591490224133,photo,,
3_1522158562788712448,photo,,
16_1522158324976091136,animated_gif,,
3_1522158247012352000,photo,,
3_1522158149695787008,photo,,
3_1522158028740608000,photo,,
3_1522157764880916480,photo,,
