media_key,media_type,alt_text,duration_ms
3_1538575532975063043,photo,,
3_1538576630347620352,photo,,
3_1538576636823601152,photo,,
3_1538576504392671234,photo,,
3_1538576412847788032,photo,,
3_1538576309055463424,photo,,
3_1538576192416231424,photo,,
3_1538576144999534592,photo,,
3_1538575543238594562,photo,,
3_1538575644577218562,photo,,
3_1538575484153380865,photo,,
3_1538575079809855489,photo,,
3_1538575159921201152,photo,,
3_1538575145094111232,photo,,
3_1538575072679628803,photo,,
3_1538574842743738368,photo,,
3_1538574866080796672,photo,,
3_1538574901392510976,photo,,
3_1538367955754311680,photo,,
3_1538289642952433664,photo,,
3_1538574719489916931,photo,,
3_1535018245434007553,photo,,
7_1538568368369942529,video,,71166.0
3_1538574516422848512,photo,,
3_1538573935608008704,photo,,
3_1538573935612239873,photo,,
3_1538573935603851264,photo,,
