media_key,media_type,alt_text,duration_ms
3_1522374167772946438,photo,,
3_1522373990416744448,photo,,
3_1522373990496423936,photo,,
3_1522374178669744129,photo,,
16_1522374122616934400,animated_gif,,
3_1522373809566883841,photo,,
3_1522373809889857539,photo,,
3_1522373753354788870,photo,,
3_1522373890030374913,photo,,
7_1522373768353566720,video,,3663.0
3_1522373658026643457,photo,,
3_1522373392720138240,photo,,
3_1522373392715948033,photo,,
3_1522373401733746688,photo,,
3_1522373511070818305,photo,,
3_1522373533602562048,photo,,
3_1522373383555411969,photo,,
3_1522373127921029120,photo,,
7_1522373083897737216,video,,17647.0
3_1522373045171720192,photo,,
3_1522372953668788224,photo,,
3_1522372968160317442,photo,,
3_1522372840602804224,photo,,
7_1522372543612608513,video,,54720.0
