userid,username,followers,tweets,profile_desc,location,verified,entities
1517407832135856128,rvnawn_,125,919,ia bcs I’m reading and watching,She/her,False,
1330518976791777284,zSilB,46,1654,"Roblox Developer. // Former Tester for Roblox Comunity QA Team. // I like reading manga and watching anime, currently watching: Mob Psycho 100",🇧🇷 // metaverse,False,
1417587809502826500,Roblox_RTC_BR,11868,8874,"Não sou o @Roblox nem o @Roblox_RTC;
Créditos as fotos de perfil: @PazeTweets;
Dono: @CarBluGStudio.
Idéia: @DianRBLX
Admins: @LeonardoBagi e @RobloxxNotices.",My Hello Kitty Cafe,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/32STGsbMiH', 'expanded_url': 'https://rtcemportugues.carrd.co', 'display_url': 'rtcemportugues.carrd.co'}]}, 'description': {'mentions': [{'start': 10, 'end': 17, 'username': 'Roblox'}, {'start': 24, 'end': 35, 'username': 'Roblox_RTC'}, {'start': 66, 'end': 77, 'username': 'PazeTweets'}, {'start': 85, 'end': 99, 'username': 'CarBluGStudio'}, {'start': 108, 'end': 117, 'username': 'DianRBLX'}, {'start': 126, 'end': 139, 'username': 'LeonardoBagi'}, {'start': 142, 'end': 157, 'username': 'RobloxxNotices'}]}}"
1504973341261770754,TheSp3dKid,100,5219,"12, bi, autistic, ADHD, OCD, Depression, PTSD. He/They/It/Bruh/Void/Yeet/Poison/Neon/Skull/Rot/Moon. I make memes. I follow back. I stole your grandma btw.",,False,
1523084431451320320,AgDriven12Again,9,847,I'm a big noob.,,False,
1135505076179677184,taiilenwa451,40,537,I'm the freaking sussy (not free) #sticknodes (pro) animation,YourMomHouse,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5Cguyu9IMp', 'expanded_url': 'https://www.facebook.com/profile.php?id=100076871095711', 'display_url': 'facebook.com/profile.php?id…'}]}, 'description': {'hashtags': [{'start': 34, 'end': 45, 'tag': 'sticknodes'}]}}"
1056053249470541824,Roblox_RTC,457374,24465,It's our mission to be one with the community and make this the best place to be! | We are *NOT* @Roblox! | DM 💌 with new info! | Layout by: @PazeTweets,Following ≠ Endorsement,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/t4QnFMvIXg', 'expanded_url': 'http://rtcnews.ca', 'display_url': 'rtcnews.ca'}]}, 'description': {'mentions': [{'start': 97, 'end': 104, 'username': 'Roblox'}, {'start': 141, 'end': 152, 'username': 'PazeTweets'}]}}"
1454546005937041408,aa2816playzz_al,37,3097,"My main got locked for some reason after I was filling out the (Birth date) | God first! | 16 | Single ;-; |
Main - @aa2816playzz",,False,"{'description': {'mentions': [{'start': 116, 'end': 129, 'username': 'aa2816playzz'}]}}"
1247995860643917831,MasterNicolasHD,117,1453,A Roblox Livestreamer & Computer Nerd | PFP by @nenoyt18l,"Florida, USA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Xnnwe9dqKW', 'expanded_url': 'http://www.youtube.com/masternicolashd', 'display_url': 'youtube.com/masternicolashd'}]}, 'description': {'mentions': [{'start': 47, 'end': 57, 'username': 'nenoyt18l'}]}}"
1506070658832347137,jamiecrapling,1,5,shut up,,False,
