media_key,media_type,alt_text,duration_ms
3_1518880715370336256,photo,,
3_1518880715378774017,photo,,
7_1518879797044076544,video,,44981.0
3_1518879750764511233,photo,,
3_1518879629762867202,photo,,
7_1518879590369959936,video,,33066.0
3_1518879557939572738,photo,,
7_1518878550082060289,video,,23333.0
3_1518878152096845824,photo,,
3_1518877876329730048,photo,,
7_1518877635543244803,video,,2453.0
3_1518877846269140993,photo,,
3_1518877846189395968,photo,,
3_1518877550981926915,photo,,
3_1518877552982515716,photo,,
3_1518877554911989760,photo,,
3_1518877557252403200,photo,,
3_1518877554937106432,photo,,
3_1518877350045249538,photo,,
3_1518877416525295622,photo,,
3_1518877245225730049,photo,,
7_1518877039780306944,video,,35933.0
3_1518876958549225472,photo,,
3_1518876779884302337,photo,,
3_1518876805150691328,photo,,
3_1518876358633394176,photo,,
3_1518876331022462979,photo,,
3_1518876384579534848,photo,,
3_1518876384583688192,photo,,
3_1518876384587886592,photo,,
3_1518876384587833346,photo,,
3_1518876205692379138,photo,,
