media_key,media_type,alt_text,duration_ms
3_1534422664625852416,photo,,
3_1534420120084262914,photo,,
3_1534420120134508544,photo,,
3_1534420120147070976,photo,,
3_1534420120138723328,photo,,
3_1534422258105876482,photo,,
3_1534422271645073409,photo,,
3_1534422246428934145,photo,,
3_1534422071778095104,photo,,
7_1534422096834547712,video,,2880.0
16_1534422005696630786,animated_gif,,
3_1534421801807548416,photo,,
3_1534421788284751872,photo,,
3_1534421655329853440,photo,,
3_1534421712250769408,photo,,
3_1534421722191253504,photo,,
3_1534421725949349890,photo,,
7_1534421684744179717,video,,2458.0
3_1534421526493249537,photo,,
3_1534421436684972032,photo,,
3_1534421447535624192,photo,,
3_1534421362407792640,photo,,
3_1534421190558683136,photo,,
7_1534421295617740800,video,,18714.0
3_1534421050598887424,photo,,
3_1534421053136588800,photo,,
3_1534421007016112128,photo,,
3_1534421007041286145,photo,,
3_1534420909549043713,photo,,
3_1534420893417410560,photo,,
3_1534420893421539333,photo,,
3_1534420611736674304,photo,,
3_1534418638517587968,photo,,
3_1534420396329426944,photo,,
3_1534420597140094977,photo,,
