media_key,media_type,alt_text,duration_ms
3_1532480798971940864,photo,,
3_1532480806307778560,photo,,
3_1532480812645371905,photo,,
3_1532480005514465280,photo,,
3_1532480581694631936,photo,,
3_1532480627412324352,photo,,
3_1532480601906896917,photo,,
3_1532480392283971608,photo,,
3_1532480423187603476,photo,,
3_1532480295496212506,photo,,
3_1532480041954729989,photo,,
3_1532474396484460545,photo,,
3_1532474396509609984,photo,,
3_1532474396723535900,photo,,
3_1532479320266006556,photo,,
3_1532479982311821312,photo,,
3_1532479978071285795,photo,,
3_1532479879320592384,photo,,
3_1532479524377616400,photo,,
3_1532479475039948800,photo,,
3_1532479339945680903,photo,,
3_1532478482344730645,photo,,
3_1532478482353119246,photo,,
3_1532478482537668609,photo,,
3_1532479011875610625,photo,,
16_1532479063599767560,animated_gif,,
