userid,username,followers,tweets,profile_desc,location,verified,entities
1202651857556004865,EmpireZamani,317,10497,I'm who I'm,,False,
1406946872548159489,BananaWiliam,0,34,I LOVE BANANA!!!!!!!!!!!!!!!!!!!,,False,
16745055,Roblox,5129051,10281,"Bringing the world together to play, create, explore, and socialize within millions of 3D virtual worlds. 

For support, go to https://t.co/yRCNeQf3Nf.",California,True,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/nETwh2gRPi', 'expanded_url': 'https://rblx.co/Roblox', 'display_url': 'rblx.co/Roblox'}]}, 'description': {'urls': [{'start': 127, 'end': 150, 'url': 'https://t.co/yRCNeQf3Nf', 'expanded_url': 'http://rblx.co/help', 'display_url': 'rblx.co/help'}]}}"
1538326382521880576,thynickiwalker,33,64,bb blogger,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/d2UPkE4EmM', 'expanded_url': 'https://www.instagram.com/thenickiwalker/', 'display_url': 'instagram.com/thenickiwalker/'}]}}"
1048634713357869057,kaanosk,1092,2149,,he / him ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/j0oLfxZOVs', 'expanded_url': 'https://www.youtube.com/channel/UCgZkJAOvw_sABIL2ICeCW8Q', 'display_url': 'youtube.com/channel/UCgZkJ…'}]}}"
1074333198589534215,xNekorii,3544,28074,"|✩ Professional Retard ✩| |✩ Any Pronouns ✩|
|✩ Animator ✩| |✩ Gfx Artist ✩| |✩ Editor ✩|
|✩ RTC ✩| |✩ Neko ✩| |✩ Genderfluid ✩| 
|✩ @SpiderWasHere_ is Pog! ✩|",Germany  ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fDLDciKS1d', 'expanded_url': 'https://vnekorii.carrd.co/', 'display_url': 'vnekorii.carrd.co'}]}, 'description': {'mentions': [{'start': 133, 'end': 148, 'username': 'SpiderWasHere_'}]}}"
1501248793504739330,YB_Roblox,458,1189,Rap And Roblox Expert | Never Taken An L | Not A Troll | Never Been Roatio’d | Block = I Own You | YB 🐐| Real Pedophile Hunter | Disrespect Me = Fraud,"Los Angeles, CA",False,
1448892074611277830,virginclub22,16,1179,,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/9TQ2s2cyzg', 'expanded_url': 'https://open.spotify.com/track/2mdEsXPu8ZmkHRRtAdC09e?si=TlfIRktdQH67nlx8tSZi7g&utm_source=copy-link', 'display_url': 'open.spotify.com/track/2mdEsXPu…'}]}}"
1475149863734054914,liuyangyn,585,8869,(✿˙ᗜ˙)੭━☆ﾟ.*･｡ﾟlucas jungwoo ♡ mostly wayv (w6yv dni pls),she/they | minors,False,
1479275792735485953,celcoraline_,1591,16685,https://t.co/gPdDoWZgOc,,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CpD40ZRY20', 'expanded_url': 'https://twitter.com/i/events/1536572598414618624?s=21&t=eqU2j-njynvM62gSnTAWfg', 'display_url': 'twitter.com/i/events/15365…'}]}, 'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gPdDoWZgOc', 'expanded_url': 'https://secreto.site/av2wc3', 'display_url': 'secreto.site/av2wc3'}]}}"
