media_key,media_type,alt_text,duration_ms
3_1513568360046473216,photo,,
3_1513568188298334209,photo,,
3_1513566479567970308,photo,,
3_1513567798936707083,photo,,
7_1513566503098060802,video,,4835.0
7_1513568164877111310,video,,7406.0
3_1513568156069109762,photo,,
3_1513568076184363025,photo,,
3_1513568081481805832,photo,,
3_1513568015446597633,photo,,
3_1513567900988227595,photo,,
3_1513567903068692481,photo,,
3_1513567869296328705,photo,,
3_1513567741697232897,photo,,
3_1513567708033519620,photo,,
16_1513567424095924239,animated_gif,,
3_1513567231481118725,photo,,
3_1513567165244653570,photo,,
3_1513567082805628928,photo,,
3_1513566830358585346,photo,,
3_1513566951293005834,photo,,
3_1513566954254127109,photo,,
3_1513566881369702407,photo,,
