media_key,media_type,alt_text,duration_ms
16_1529280428972056576,animated_gif,,
3_1529279801474928640,photo,,
3_1529279811293700096,photo,,
3_1529279837038428166,photo,,
3_1529280086993666052,photo,,
3_1529280064247980033,photo,,
7_1529279980965924865,video,,8380.0
3_1529279910321135616,photo,,
3_1529279750384009216,photo,,
3_1529279464097468416,photo,,
3_1529279229346648066,photo,,
3_1529279288284917760,photo,,
16_1529279109355827201,animated_gif,,
3_1529279035532054528,photo,,
3_1529279035536293897,photo,,
3_1529278857093726209,photo,,
3_1529278613211983872,photo,,
3_1529278197967249410,photo,,
3_1529278197975732225,photo,,
3_1529277969302278144,photo,,
3_1529277891657318401,photo,,
