media_key,media_type,alt_text,duration_ms
3_1517933986412122113,photo,,
16_1517862939566424064,animated_gif,,
3_1517933767700197376,photo,,
3_1517933678168576001,photo,,
16_1517933808733020160,animated_gif,,
3_1517933740223352842,photo,,
3_1517933574472847365,photo,,
3_1517933577597509633,photo,,
3_1517933580625842178,photo,,
3_1517933583264010240,photo,,
3_1517933478893047808,photo,,
16_1517932966420299777,animated_gif,,
3_1517932778775588865,photo,,
3_1517932579214839809,photo,,
3_1517932624769167361,photo,,
3_1517932520368660481,photo,,
3_1517932324058542084,photo,,
3_1517932047666270208,photo,,
16_1517931909627662336,animated_gif,,
