media_key,media_type,alt_text,duration_ms
3_1538681419421163520,photo,,
3_1538681419425271809,photo,,
3_1538681221181579265,photo,,
3_1538680668841967616,photo,,
3_1538680826971336704,photo,,
3_1538680911411220482,photo,,
3_1538680806993969158,photo,,
16_1538680724471037953,animated_gif,,
3_1538680666283466753,photo,,
3_1538680348070264832,photo,,
3_1538680061519441928,photo,,
3_1538679936373825537,photo,,
3_1538679481426391040,photo,,
3_1538679522840969216,photo,,
3_1538679558144425984,photo,,
3_1538679470470610946,photo,,
3_1538679470479007746,photo,,
3_1538679233567924224,photo,,
7_1538661278192762880,video,,42366.0
3_1538678824631664641,photo,,
3_1538678763210219520,photo,,
3_1538678766938927104,photo,,
3_1538678627545538561,photo,,
3_1538678627545513991,photo,,
3_1538678472880623616,photo,,
