media_key,media_type,alt_text,duration_ms
3_1533953281831100416,photo,,
3_1533952536008396800,photo,,
16_1533952894898167808,animated_gif,,
3_1533952858306928641,photo,,
3_1533951803942920192,photo,,
3_1533952531134656513,photo,,
3_1533952531294035974,photo,,
3_1533952531365249025,photo,,
3_1533952531377840129,photo,,
3_1533952450259992576,photo,,
3_1533952457147133954,photo,,
3_1533952457126072324,photo,,
3_1533952153701830657,photo,,
3_1533951698577891328,photo,,
3_1533951703120216065,photo,,
3_1533951705913692161,photo,,
3_1533951478330757121,photo,,
7_1533951506294181888,video,,4988.0
7_1533951409200283649,video,,3726.0
3_1533951200051482624,photo,,
3_1533950885533044736,photo,,
3_1533950963999981568,photo,,
