media_key,media_type,alt_text,duration_ms
3_1515046082543333381,photo,,
3_1515046086309814287,photo,,
3_1515046089967210506,photo,,
3_1515046093020667906,photo,,
3_1515045981963882503,photo,,
3_1515045465963782152,photo,,
3_1515045875978051591,photo,,
3_1515044940686012429,photo,,
7_1515045290591539214,video,,1933.0
16_1515044979114233865,animated_gif,,
3_1515044377621639174,photo,,
3_1515044599592624139,photo,,
3_1515043585640394757,photo,,
