userid,username,followers,tweets,profile_desc,location,verified,entities
1463840766829084683,karaage3294,22,787,もう高校生か,北朝鮮,False,
1501556996318777344,ZN95475721,0,7,,,False,
985359254184964096,SharkBloxYT,137524,3979,i don't check this app everyday,"London, United Kingdom",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lRB6YL1CGZ', 'expanded_url': 'https://www.youtube.com/c/sharkblox', 'display_url': 'youtube.com/c/sharkblox'}]}}"
1142872761666289664,Boomer60052,39,3200,"it him
#StandwithUkraine
i am uhh bi
i am uhhhmmm 15 so fuck off!!!
#BLM
fuck shit piss cunt ass tits",Dalnegleih,False,"{'description': {'hashtags': [{'start': 7, 'end': 24, 'tag': 'StandwithUkraine'}, {'start': 68, 'end': 72, 'tag': 'BLM'}]}}"
1445039628659183617,RyaanDZN,24,156,,,False,
1480323556009562121,Enchanting_3788,6,211,ପଓ https://t.co/9zBGYUtFK8 ପଓ,,False,"{'description': {'urls': [{'start': 3, 'end': 26, 'url': 'https://t.co/9zBGYUtFK8', 'expanded_url': 'https://tintin1.carrd.co', 'display_url': 'tintin1.carrd.co'}]}}"
1130625854311194630,TrainBoy227,1011,82171,"🇺🇦B-day: 2/27 | They/Them (Agender) | Member of @LuminosSMP | Modeler, funny fella | Slava Ukraini | PFP by @SpaceyBoi98🇺🇦","Kirk Ronan Cement Works, Sodor",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fEWZdEvLxh', 'expanded_url': 'https://www.youtube.com/channel/UC8w9NXbNG0IWhNpmdz0jUKQ?view_as=subscriber', 'display_url': 'youtube.com/channel/UC8w9N…'}]}, 'description': {'mentions': [{'start': 48, 'end': 59, 'username': 'LuminosSMP'}, {'start': 108, 'end': 120, 'username': 'SpaceyBoi98'}]}}"
1322086688848564225,_TTGD_Roblox,2493,725,"An upcoming Roblox Thomas and Friends game based on the HiT Entertainment Era!

Account run by @Kool_Aid203",,False,"{'description': {'mentions': [{'start': 95, 'end': 107, 'username': 'Kool_Aid203'}]}}"
1538385386136735744,BacteriaStudio,0,1,The aspiring prostitator of Roblox UGC,,False,
861528979391397893,donbeoljima,67,32062,Lg bucin eddie munson,Exoplanet,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YitAKpI1yl', 'expanded_url': 'https://youtu.be/2IkoKhr6Tss', 'display_url': 'youtu.be/2IkoKhr6Tss'}]}}"
