userid,username,followers,tweets,profile_desc,location,verified,entities
789651763905388544,ScriptOn_ebooks,317,31258,The kinetic offspring of @ScriptOnRoblox,,False,"{'description': {'mentions': [{'start': 25, 'end': 40, 'username': 'ScriptOnRoblox'}]}}"
1438235050089254918,Damnibility,6,143,"if you’re a fan of anyone in the dsmp, or associated with dream, DO NOT INTERACT WITH ME. i hate all of you bozos go get some bitches. on that note happy pride!",He/him,False,
1516265612691001350,amogatos557,91,3656,#에스파 #김채현,(っ˘з(˘⌣˘ ),False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ilhakm3LB0', 'expanded_url': 'http://he.xn--8ci/', 'display_url': 'he.✰'}]}, 'description': {'hashtags': [{'start': 0, 'end': 4, 'tag': '에스파'}, {'start': 5, 'end': 9, 'tag': '김채현'}]}}"
1268996511175790594,StrawbJamStudio,564,68043,"22 years old - VHSOS on AO3. Discord for moots, Switch is debatable. Demon Simp. DMs open. I haven’t finished my tasks..",Out Causing Chaos,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DBBIycyB1L', 'expanded_url': 'https://en.pronouns.page/@insomniacakes', 'display_url': 'en.pronouns.page/@insomniacakes'}]}}"
1152139583963815936,Tashatweetstuff,186,38,she/her,,False,
1511718185808318464,quiltyfree,59,269,"If I don't tell you to, don't fucking follow.","Paris, France",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UeDxERoewx', 'expanded_url': 'https://twitter.com/diorqratic', 'display_url': 'twitter.com/diorqratic'}]}}"
1538921112037658624,yslriqal,300,1233,Be your own kind of beautiful.," 

   𒀭 —— ZARIAH LOUISE.   SHE / HER 𓍯
   S-IC.   N / SFW-PROFANITIES.   P-FLIRT.
   ᝰ LIKER.   INTERACTIVE.   S — NDMS.
    
     ",False,
1382528517250879489,JORDANTHEBRO14,11,477,😎What’s Good😎 #OnTheRoadTo5K,"Hampton, VA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oRYxPxuruH', 'expanded_url': 'https://www.instagram.com/jordanthebro6/', 'display_url': 'instagram.com/jordanthebro6/'}]}, 'description': {'hashtags': [{'start': 14, 'end': 28, 'tag': 'OnTheRoadTo5K'}]}}"
1497772989370224643,justtrydonteat,22,1160,edtw ! (!/cuenta de desahogó),she/her,False,
1154434912990007296,ORumpleforskinn,215,19434,"Jesus Christ is Lord and savior.
Government is not God. 

Epilepsy sucks 😒",United States Arizona,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/imunJloVKv', 'expanded_url': 'http://twitch.tv/original_rumpleforskinn', 'display_url': 'twitch.tv/original_rumpl…'}]}}"
1432424981204504576,natashajill5,2045,1903,"“There are three responses to a piece of design – yes, no, and WOW! Wow is the one to aim for.”",United Kingdom,False,
