media_key,media_type,alt_text,duration_ms
3_1525342147641323521,photo,,
3_1525342016791535617,photo,,
3_1525341995396435968,photo,,
7_1525341803469479936,video,,20058.0
7_1525341375763337219,video,,39807.0
16_1525341722817220608,animated_gif,,
7_1525341381165973505,video,,20058.0
7_1525341201905614848,video,,20058.0
3_1525341140077232128,photo,,
3_1525341091418996736,photo,,
3_1525341089376485376,photo,,
3_1525341076231376896,photo,,
3_1525340946535108608,photo,,
7_1525340466933387265,video,,32600.0
16_1525340541998796801,animated_gif,,
3_1525339523521122304,photo,,
3_1525339700512403456,photo,,
3_1525339786650738688,photo,,
3_1525340187693391875,photo,,
3_1525340204697104385,photo,,
3_1525340196572917760,photo,,
3_1525340171268665345,photo,,
3_1525339532266184704,photo,,
3_1525339886198218753,photo,,
3_1525339834771832832,photo,,
3_1525339503744823296,photo,,
3_1525339507079360512,photo,,
3_1525339460661035013,photo,,
3_1525339454533402625,photo,,
7_1525339281518170112,video,,4750.0
3_1525339253517045760,photo,,
7_1525338855196332034,video,,117987.0
