tweetid,author_id,text,created_at,geo,retweets,replies,likes,quote_count,lang,conversation_id,context_annotations,entities,attachments,possibly_sensitive,withheld,reply_settings,source
1535568135134162945,1351024983770804224,"“ Leak ? ”
Fnf Meet Nikusa BetaVer. (Official)
Creator Entity @SugarRatio 
Animation,BG by @CuteSpider6 
Song,sprite by @U_LightOfficial 
Chart by @WiiCube64 
Artist, Code, Reina Voice : @Reina__2003 
#FnfMeetNikusa #fridaynightfunkin #fnfmod #FnfNikusa #FnfReina #Fnf https://t.co/I4dRu2u3Oo",2022-06-11 10:22:27+00:00,,661,349,4265,471,en,1535568135134162945,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596740190208', 'name': 'CPG'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596656304128', 'name': 'Beverage'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026302007', 'name': 'Sprite'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '834828264786898945', 'name': 'Drinks', 'description': 'Drinks'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '834828445238431744', 'name': 'Generic Drinks', 'description': 'Generic Drinks'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '850143755873140737', 'name': 'Soda', 'description': 'Soda'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596740190208', 'name': 'CPG'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596656304128', 'name': 'Beverage'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026302007', 'name': 'Sprite'}}]","{'urls': [{'start': 269, 'end': 292, 'url': 'https://t.co/I4dRu2u3Oo', 'expanded_url': 'https://twitter.com/Reina__2003/status/1535568135134162945/video/1', 'display_url': 'pic.twitter.com/I4dRu2u3Oo', 'media_key': '7_1535568063957172224'}], 'mentions': [{'start': 62, 'end': 73, 'username': 'SugarRatio', 'id': '958992531689123841'}, {'start': 91, 'end': 103, 'username': 'CuteSpider6', 'id': '1364304953842393089'}, {'start': 120, 'end': 136, 'username': 'U_LightOfficial', 'id': '1293415911743868929'}, {'start': 147, 'end': 157, 'username': 'WiiCube64', 'id': '1119374212282691584'}, {'start': 187, 'end': 199, 'username': 'Reina__2003', 'id': '1351024983770804224'}], 'hashtags': [{'start': 201, 'end': 215, 'tag': 'FnfMeetNikusa'}, {'start': 216, 'end': 234, 'tag': 'fridaynightfunkin'}, {'start': 235, 'end': 242, 'tag': 'fnfmod'}, {'start': 243, 'end': 253, 'tag': 'FnfNikusa'}, {'start': 254, 'end': 263, 'tag': 'FnfReina'}, {'start': 264, 'end': 268, 'tag': 'Fnf'}]}",{'media_keys': ['7_1535568063957172224']},False,,everyone,Twitter for Android
1535860865169096705,1447028332541792262,@L0VINGST4RS OK.,2022-06-12 05:45:39+00:00,,0,1,1,0,und,1535859371489517569,[],"{'mentions': [{'start': 0, 'end': 12, 'username': 'L0VINGST4RS', 'id': '1498144679854018570'}]}",,False,,everyone,Twitter for iPad
1535860198765563904,1516696917438517252,I might here to make a situation like this- but here me out so im scrolling through youtube shorts and I see this channel called 'inquisitormaster' so then I see the channel and it seems there is a lot 'Squads' in her channel 1/??,2022-06-12 05:43:00+00:00,,0,2,3,0,en,1535860198765563904,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}, {'domain': {'id': '48', 'name': 'Product', 'description': 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.'}, 'entity': {'id': '1427243067275284480', 'name': 'YouTube Shorts'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}]","{'annotations': [{'start': 84, 'end': 90, 'probability': 0.6788, 'type': 'Product', 'normalized_text': 'youtube'}]}",,False,,everyone,Twitter for iPhone
1535790412199501824,2955268068,"💎100,000 RHD GW💎
💖ENDS IN 12 MINUTES❤️
✅LIKE OR RT TO ENTER✅

💖TAG A FRIEND FOR DOUBLE❤️",2022-06-12 01:05:42+00:00,,146,82,200,1,en,1535790412199501824,[],,,False,,everyone,Twitter for iPhone
1535818999044636672,1355826500658810882,youtube in 2022 : https://t.co/LCUYz50Fug,2022-06-12 02:59:18+00:00,,1,1,11,0,en,1535818999044636672,"[{'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}]","{'urls': [{'start': 18, 'end': 41, 'url': 'https://t.co/LCUYz50Fug', 'expanded_url': 'https://twitter.com/PentorXd/status/1535818999044636672/photo/1', 'display_url': 'pic.twitter.com/LCUYz50Fug', 'media_key': '3_1535818641517977600'}]}",{'media_keys': ['3_1535818641517977600']},True,,everyone,Twitter Web App
1531737547994501121,868996142239010817,@Roblox @NosniyRBLX i tried my best haha https://t.co/NO1ZyBy0HH,2022-05-31 20:41:04+00:00,,0,13,69,0,en,1531733824161189888,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1088118927580774400', 'name': 'Roblox', 'description': 'Roblox'}}]","{'urls': [{'start': 41, 'end': 64, 'url': 'https://t.co/NO1ZyBy0HH', 'expanded_url': 'https://twitter.com/r_dequp/status/1531737547994501121/photo/1', 'display_url': 'pic.twitter.com/NO1ZyBy0HH', 'media_key': '3_1531737543732887553'}], 'mentions': [{'start': 0, 'end': 7, 'username': 'Roblox', 'id': '16745055'}, {'start': 8, 'end': 19, 'username': 'NosniyRBLX', 'id': '3383407220'}]}",{'media_keys': ['3_1531737543732887553']},False,,everyone,Twitter for iPhone
1535768138716946433,1322086688848564225,"@KnapfordModeler Nah, the NG engines will have their own game (that includes the wharf and their models) 

Pack aren’t guaranteed to get their own game but if they did pack Thomas and Percy would be in that!",2022-06-11 23:37:12+00:00,,1,1,12,0,en,1535691933292679170,[],"{'annotations': [{'start': 105, 'end': 110, 'probability': 0.5715, 'type': 'Product', 'normalized_text': 'Pack'}, {'start': 173, 'end': 178, 'probability': 0.9712, 'type': 'Person', 'normalized_text': 'Thomas'}, {'start': 184, 'end': 188, 'probability': 0.9939, 'type': 'Person', 'normalized_text': 'Percy'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'KnapfordModeler', 'id': '1484722751109697536'}]}",,False,,everyone,Twitter for iPhone
1535834793769828353,1469295587552018434,"@channieminion Y BUENOQ FÁCIL, CMO TE VAS A DIFICULTAR AHÍ",2022-06-12 04:02:03+00:00,,0,1,0,0,es,1535823144446992384,[],"{'mentions': [{'start': 0, 'end': 14, 'username': 'channieminion', 'id': '1443858726822322177'}]}",,False,,everyone,Twitter for Android
1535644112602517504,1289725608558198790,https://t.co/p0GLAyrPXg,2022-06-11 15:24:21+00:00,,2924,178,43688,182,zxx,1535644112602517504,[],"{'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/p0GLAyrPXg', 'expanded_url': 'https://twitter.com/SpaceLiminalBot/status/1535644112602517504/photo/1', 'display_url': 'pic.twitter.com/p0GLAyrPXg', 'media_key': '3_1535644111373492226'}]}",{'media_keys': ['3_1535644111373492226']},False,,everyone,Twitter
1535612911774998528,1509067263357304832,"𖧷 Adopt Me Candies Giveaway 𖧷
— 3 Winners 🎉 — 10 Candies per Person 🏆

𑁍 Rules
• Follow me and our special donor @olivia78905745 
• Like and Retweet
• Comment Done + Your Favorite High-tier Pet (Optionalᵎᵎ)

⸽ No Extras nor Higher Chances, Goodluck! ‹𝟹 https://t.co/3e8lLLnqnc",2022-06-11 13:20:23+00:00,,32,30,34,2,en,1535612911774998528,[],"{'urls': [{'start': 253, 'end': 276, 'url': 'https://t.co/3e8lLLnqnc', 'expanded_url': 'https://twitter.com/hiroIuvr/status/1535612911774998528/photo/1', 'display_url': 'pic.twitter.com/3e8lLLnqnc', 'media_key': '3_1535612879260762112'}], 'mentions': [{'start': 113, 'end': 128, 'username': 'olivia78905745', 'id': '1392184629143158784'}]}",{'media_keys': ['3_1535612879260762112']},False,,mentionedUsers,Twitter for Android
