,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,comment,last_edit_date,closed_date,closed_reason,protected_date,migrated_from
10,"['lua', 'scripting', 'game-development', 'roblox']","{'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}",False,32,,1,0,1658886786,1658872295,73130128,CC BY-SA 4.0,https://stackoverflow.com/questions/73130128/attempt-to-index-nil-with-leaderstats-error-in-roblox-studio,attempt to index nil with &#39;leaderstats&#39; error in roblox studio,"[{'owner': {'account_id': 4383767, 'reputation': 4893, 'user_id': 3574628, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/W5BJ2.jpg?s=256&g=1', 'display_name': 'luther', 'link': 'https://stackoverflow.com/users/3574628/luther'}, 'edited': False, 'score': 0, 'creation_date': 1658948419, 'post_id': 73130128, 'comment_id': 129181754, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3410118, 'reputation': 4639, 'user_id': 2860267, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/bh9em.jpg?s=256&g=1', 'display_name': 'Kylaaa', 'link': 'https://stackoverflow.com/users/2860267/kylaaa'}, 'edited': False, 'score': 1, 'creation_date': 1658876993, 'post_id': 73130128, 'comment_id': 129159981, 'content_license': 'CC BY-SA 4.0'}]",1658875081.0,,,,
11,"['lua', 'scripting', 'roblox']","{'account_id': 25901927, 'reputation': 1, 'user_id': 19627670, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf8f8bacfddbd7093a47ba099e013e5d?s=256&d=identicon&r=PG', 'display_name': 'funnyllama1', 'link': 'https://stackoverflow.com/users/19627670/funnyllama1'}",False,32,,2,0,1658876945,1658862076,73128503,CC BY-SA 4.0,https://stackoverflow.com/questions/73128503/attempt-to-index-nil-with-leaderstats,attempt to index nil with leaderstats,[],1658876945.0,,,,
12,"['module', 'lua', 'roblox']","{'account_id': 20031178, 'reputation': 11, 'user_id': 14683910, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eb6fc42aad44c7d904f460db87607da7?s=256&d=identicon&r=PG&f=1', 'display_name': 'user14683910', 'link': 'https://stackoverflow.com/users/14683910/user14683910'}",False,30,,0,1,1658936045,1658858534,73127872,CC BY-SA 4.0,https://stackoverflow.com/questions/73127872/roblox-get-letters-between-two-letters,Roblox get letters between two letters,[],1658863123.0,,,,
13,"['lua', 'roblox']","{'account_id': 19338975, 'reputation': 51, 'user_id': 14138987, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3403091186400462/picture?type=large', 'display_name': 'Stainler', 'link': 'https://stackoverflow.com/users/14138987/stainler'}",True,18,73127288.0,1,0,1658855358,1658843773,73124705,CC BY-SA 4.0,https://stackoverflow.com/questions/73124705/reset-part-to-original-position-in-roblox,Reset part to original position in roblox,[],,,,,
14,"['python', 'selenium', 'selenium-chromedriver']","{'account_id': 20284783, 'reputation': 19, 'user_id': 14877696, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vXxVm.png?s=256&g=1', 'display_name': 'Lubaba Ell', 'link': 'https://stackoverflow.com/users/14877696/lubaba-ell'}",False,20,,1,0,1658825022,1658819704,73119125,CC BY-SA 4.0,https://stackoverflow.com/questions/73119125/selenium-python-copy-paste-img-src,"Selenium Python copy, paste img src",[],1658825022.0,,,,
15,"['lua', 'roblox']","{'account_id': 25879828, 'reputation': 28, 'user_id': 19609110, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoYgNWQpZYj747UivbQtoEWdcsDKC47GAivP5x-mg=k-s256', 'display_name': 'Fabiano Madeira', 'link': 'https://stackoverflow.com/users/19609110/fabiano-madeira'}",False,32,,1,0,1658843811,1658808931,73117672,CC BY-SA 4.0,https://stackoverflow.com/questions/73117672/converting-a-string-into-instance,Converting a String into Instance,"[{'owner': {'account_id': 7484342, 'reputation': 1122, 'user_id': 5688146, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a6eb85feb2d14656b97752a1bfa9736?s=256&d=identicon&r=PG&f=1', 'display_name': 'sneusse', 'link': 'https://stackoverflow.com/users/5688146/sneusse'}, 'edited': False, 'score': 0, 'creation_date': 1658914264, 'post_id': 73117672, 'comment_id': 129167932, 'content_license': 'CC BY-SA 4.0'}, {'owner': {'account_id': 3407423, 'reputation': 24824, 'user_id': 2858170, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b4263428b9b0e0aed365e264c7a2b044?s=256&d=identicon&r=PG&f=1', 'display_name': 'Piglet', 'link': 'https://stackoverflow.com/users/2858170/piglet'}, 'edited': False, 'score': 1, 'creation_date': 1658823449, 'post_id': 73117672, 'comment_id': 129140858, 'content_license': 'CC BY-SA 4.0'}]",1658843811.0,,,,
16,"['lua', '3d', 'roblox']","{'account_id': 25891111, 'reputation': 35, 'user_id': 19618499, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucq-8fVhwYEZY4CjAoiN2jGiw0ZQZVdKUFdP98UWtQ=k-s256', 'display_name': 'Ch8D', 'link': 'https://stackoverflow.com/users/19618499/ch8d'}",True,33,73118174.0,1,2,1658813918,1658798345,73116825,CC BY-SA 4.0,https://stackoverflow.com/questions/73116825/how-should-i-fix-while-true-loop-repeating-and-stopping-unwantedly-roblox,how should I fix While True loop repeating and stopping unwantedly (Roblox),[],1658798655.0,,,,
17,"['api', 'captcha', 'provider', 'roblox']","{'account_id': 25499588, 'reputation': 1, 'user_id': 19293090, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Vyx5T.jpg?s=256&g=1', 'display_name': 'Kacper', 'link': 'https://stackoverflow.com/users/19293090/kacper'}",False,24,,0,0,1658782415,1658782415,73115261,CC BY-SA 4.0,https://stackoverflow.com/questions/73115261/roblox-api-login-endpoint-captcha-provider,Roblox API Login endpoint Captcha Provider,[],,,,,
18,['lua'],"{'account_id': 25886112, 'reputation': 1, 'user_id': 19620381, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpELwenwd5t6YaykhnWSsWSULLRna3OvIJQOyUStg=k-s256', 'display_name': 'rufu', 'link': 'https://stackoverflow.com/users/19620381/rufu'}",False,15,,0,0,1658779180,1658779180,73114729,CC BY-SA 4.0,https://stackoverflow.com/questions/73114729/how-in-the-world-to-i-use-the-developer-console-with-numbers-in-my-name-roblox,How in the world to I use the Developer console with numbers in my name? (Roblox),"[{'owner': {'account_id': 2073637, 'reputation': 22633, 'user_id': 1847592, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/OvYt2.png?s=256&g=1', 'display_name': 'Egor Skriptunoff', 'link': 'https://stackoverflow.com/users/1847592/egor-skriptunoff'}, 'edited': False, 'score': 2, 'creation_date': 1658779349, 'post_id': 73114729, 'comment_id': 129132148, 'content_license': 'CC BY-SA 4.0'}]",,,,,
19,"['lua', 'scripting', 'roblox']","{'account_id': 25885990, 'reputation': 1, 'user_id': 19614080, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucoe1DhYQayv_1XkjN8_ps5fTfFYCkzD2k4qrGBuXQ=k-s256', 'display_name': 'kash', 'link': 'https://stackoverflow.com/users/19614080/kash'}",False,23,,1,0,1658733726,1658710434,73103103,CC BY-SA 4.0,https://stackoverflow.com/questions/73103103/lua-unable-to-assign-property-value-string-expected-got-instance,"Lua - Unable to assign property Value. string expected, got Instance",[],,,,,
